node_id,shard_id,cpu_cores,memory_gb,storage_gb,network_bandwidth,node_degree,cross_shard_ratio,cpu_usage,memory_usage
1a5dce5d1d6e774142df4fa6b1da1ad831f60814,0,1.00,5.00,116.00,105.00,2.00,1.0000,0.1200,0.4100
0714ece9a817c2240543d1073903759b870df4aa,0,6.00,9.00,159.00,60.00,1.00,0.0000,0.5400,0.5100
e62c923afac5ee682665f5d96a8f411d5a22f8ff,1,8.00,14.00,138.00,131.00,2.00,0.0000,0.3800,0.8000
b10db3cecc1f9f08b506108ac9f87c6cf990d8ec,0,6.00,5.00,129.00,82.00,3.00,1.0000,0.1700,0.2700
e701e9c21eb823186c66c6aaec59482284cd9b42,0,4.00,5.00,104.00,72.00,3.00,1.0000,0.1200,0.5800
8e4a9c1fc83520249e1c65599c9ecc5a144a19bd,1,5.00,6.00,153.00,94.00,3.00,0.6667,0.2600,0.5500
c922e718aeea29f650e3ba5b39385584d802cb5d,1,6.00,16.00,153.00,82.00,1.00,0.0000,0.1300,0.2000
8b0dc62e139081a7e851c43db76d2a31e5383ac9,1,2.00,11.00,197.00,85.00,6.00,0.0000,0.2000,0.6700
7aa34f9893afb9f3c7fdef54b42626dddfb5cef9,1,6.00,14.00,105.00,93.00,2.00,1.0000,0.8400,0.8000
3e902e0d64190d225b2dd37c94076be4c1466a60,0,8.00,18.00,128.00,85.00,6.00,1.0000,0.4700,0.3600
59df719b2e7e5f68fdd887d84828fabf01f7b71a,0,8.00,19.00,169.00,75.00,2.00,0.0000,0.1200,0.4500
7e951d0c68cbdf44f3b2391aab7addf7c05c9ebf,1,2.00,13.00,185.00,56.00,1.00,0.0000,0.4800,0.2100
8dc2c623d2131532140586b0260df4f99cda0242,0,2.00,16.00,140.00,77.00,2.00,0.5000,0.2800,0.8700
741e740fd7992f8506608af9014fc23cf2ab8b0d,1,4.00,16.00,133.00,52.00,5.00,1.0000,0.8600,0.2000
f1feb98a0cc8c99fcb583ba84e82ee0643df21e5,1,8.00,17.00,146.00,50.00,9.00,0.6667,0.8900,0.3500
072e90fbdd10276dfebd39647d4f1db8cb7f05fc,0,7.00,18.00,116.00,65.00,3.00,1.0000,0.4300,0.2500
585bb7e341f9d1e4b767c6fcd8150c85ab12d147,1,2.00,12.00,133.00,137.00,2.00,0.0000,0.8800,0.3500
cf0038f67f5a05667308f847d4268261cecf3dc8,0,3.00,17.00,134.00,139.00,3.00,1.0000,0.7800,0.3800
d727a720f7a09497695c4b5578031838ae7783f2,0,4.00,5.00,132.00,120.00,2.00,1.0000,0.5000,0.4900
a12ec3ecc1e4e09f0f6e7122fcea9b6be426f80e,0,7.00,18.00,150.00,79.00,1.00,1.0000,0.2500,0.2400
204fcd88ec1595398ef67e80bb64d465e2beb5f9,1,3.00,11.00,127.00,112.00,1.00,0.0000,0.8500,0.6300
286093a6d11414bb21ef78bd82b683dfccacb3f9,1,6.00,7.00,193.00,107.00,2.00,0.0000,0.1000,0.3000
47c0ba975746b281c71c7baca43b93d99cbb3b1f,1,1.00,10.00,136.00,109.00,1.00,0.0000,0.2200,0.7700
0876e799ef03448f859139a4f991d980e6b2e8aa,0,8.00,19.00,151.00,124.00,1.00,1.0000,0.3700,0.7300
68b47a636c8d7e99f537a2a515ad4a889d0679e0,0,2.00,6.00,133.00,124.00,1.00,0.0000,0.1700,0.3100
a1d2a3e5040bc379c40c12448d799a94d1e5998d,1,8.00,11.00,177.00,96.00,1.00,1.0000,0.8900,0.7400
e15e2308462e1501603528a86e80231c6a016832,0,8.00,16.00,130.00,135.00,1.00,1.0000,0.1900,0.3100
371478590a3c53299289d28d4daaaef3d41720d5,1,1.00,10.00,177.00,91.00,3.00,1.0000,0.6500,0.2900
166172d28ee11c25e2ce16260ffc3b5777647955,1,3.00,10.00,115.00,87.00,1.00,1.0000,0.2600,0.6400
15cd1b0b7d204267c7d9587f1b4a91cea27083c8,0,7.00,6.00,194.00,134.00,1.00,0.0000,0.4700,0.2800
746f5cfd659a96b571e679688a9a472075750392,0,1.00,5.00,142.00,116.00,1.00,0.0000,0.4700,0.6900
8f4354d28d3b2ee70ded657617e51e255f15195d,1,4.00,6.00,141.00,129.00,2.00,1.0000,0.8500,0.8400
53480241512302916d96bc52a509b8e59336b1be,0,8.00,15.00,182.00,53.00,2.00,0.5000,0.4700,0.4500
22c9fbfaf079222166ba8e0a0d2f999185d29b65,1,2.00,12.00,182.00,67.00,1.00,1.0000,0.4700,0.4800
c53d973157320423842f65df86892ef02a24bb5d,1,4.00,12.00,119.00,53.00,5.00,0.0000,0.6600,0.5100
c8c42de8b5f140effb62c1d1b6162e44f69c24b5,1,8.00,9.00,193.00,60.00,2.00,0.5000,0.4400,0.7600
aa3fb9b74f6331caa3262b3f97562b5c37b78a04,0,1.00,7.00,129.00,124.00,1.00,1.0000,0.7800,0.5700
ac4bfcebb201a4b3cee8b0c2777de3dc5ae4ba27,1,5.00,15.00,152.00,94.00,1.00,1.0000,0.3000,0.4300
0cf9da642a9b2f1d1c6c0ea4d5d3fc95ddbb68d2,0,3.00,4.00,129.00,149.00,1.00,0.0000,0.6200,0.4300
ab1d28b3fa60e00702d69c06713ca1a5326d63c8,0,8.00,8.00,112.00,83.00,1.00,0.0000,0.3900,0.6600
9c862c1cddaf1d66a10ea058dd2939af79a65b57,1,7.00,17.00,195.00,123.00,2.00,1.0000,0.4700,0.5000
3708e59de6b4055088782902e0579c7201a8bf50,0,5.00,8.00,192.00,100.00,1.00,0.0000,0.1200,0.8400
72d7efa3c759af0e99a30e6809ab4a959e011817,1,3.00,7.00,165.00,95.00,2.00,0.0000,0.1300,0.7000
138eda8a0977bcc3b2e9ece4076c489e0a136f92,0,5.00,9.00,103.00,136.00,1.00,0.0000,0.1100,0.3500
06bcf8bd7fb090eeb9a61b5602561e1865be6564,0,4.00,17.00,115.00,137.00,1.00,0.0000,0.4400,0.6100
098ee560226b38e07bf2bfb2b564f75405b19542,0,7.00,8.00,117.00,144.00,2.00,0.5000,0.2300,0.2700
68a1c6ccdd73b020275117049982c9f0825ed5ff,1,2.00,10.00,169.00,105.00,1.00,0.0000,0.3200,0.7200
36c9fd6d1d281a89f81c7dd6be85ab2eefaa4843,1,1.00,6.00,149.00,148.00,2.00,1.0000,0.3600,0.7900
763d0a23cfffa190778b13d87d50d8010cf9426c,0,5.00,4.00,138.00,99.00,6.00,1.0000,0.7300,0.5100
a14d480035b59696a2578b9f928d48dfb7d3e5cf,1,1.00,18.00,128.00,70.00,2.00,1.0000,0.5300,0.7200
30f4cfb4357425d3358187899363ca94eb400743,1,3.00,18.00,173.00,78.00,1.00,1.0000,0.4400,0.6300
40d0f77a71ed5eae38be9862e12153fb65cd06b2,0,4.00,11.00,192.00,116.00,1.00,0.0000,0.4200,0.5100
2746dc3c95e5a4688d523c9a9f89187238b5805d,1,7.00,4.00,192.00,111.00,1.00,0.0000,0.7600,0.2200
280454faf3e07e0c41eda81a5a47abf8bab504ad,1,5.00,4.00,116.00,78.00,2.00,1.0000,0.2200,0.2900
22cbb3cd5d4dffefd9f7a0694ba3a3f5c3510f73,1,1.00,14.00,181.00,66.00,2.00,1.0000,0.5500,0.2600
0493824fdab4fb414916b1b7eff8f2b6737b6414,0,4.00,5.00,144.00,54.00,2.00,1.0000,0.1600,0.5300
420df5bd7a3034e9be4de4e4b4e4153b371ada92,0,4.00,11.00,101.00,111.00,1.00,0.0000,0.3000,0.7900
b8e5c5f167230af39a011f88a392f51bc92f95cd,1,8.00,13.00,189.00,102.00,2.00,1.0000,0.3600,0.8000
551734d1e7b28269cfe4f599845d1b5520dbcbd5,1,8.00,18.00,131.00,105.00,2.00,0.0000,0.2400,0.5400
ccf0894275bc8808346cb01b4a62169b834d636c,0,3.00,17.00,186.00,55.00,1.00,1.0000,0.4800,0.6200
c0509f494428b3539752c220e1603cba4c533bbd,1,6.00,7.00,192.00,131.00,1.00,1.0000,0.1000,0.6100
950a178651234ee9a787408b84058b506b4c3dce,0,8.00,4.00,147.00,61.00,9.00,1.0000,0.1800,0.3300
f7a61b39fe0f4d122d08c65e5939763c90251524,0,6.00,8.00,172.00,56.00,1.00,0.0000,0.4200,0.6500
6aef3a9b06ca4b5e3654a12db360830137a379be,0,8.00,19.00,140.00,73.00,1.00,0.0000,0.5800,0.8800
c166ffce4e621817e431379d4f80cf906d7dc314,0,8.00,5.00,147.00,148.00,1.00,0.0000,0.6500,0.3000
536b75ccd39f8d5556a85030b2131a6bfabac7f6,0,1.00,18.00,124.00,97.00,1.00,0.0000,0.7400,0.8500
24ee802228d310b570efcd1cdbec41760538bfb8,0,3.00,16.00,183.00,76.00,1.00,1.0000,0.7800,0.6400
f5d6c5a27f6846dc54b7d10dc2acf02d65a7b40d,1,2.00,14.00,166.00,96.00,2.00,1.0000,0.4000,0.7500
e043d8f59742c7aeb5ffd57bac27ac6912f8484b,1,7.00,16.00,195.00,93.00,2.00,1.0000,0.5900,0.5300
0ca12e11fadaeb4dfee911bd687118483466394c,0,2.00,13.00,128.00,56.00,2.00,1.0000,0.1900,0.2400
969ff2ea71c4099f62d99a477cafea63778c9830,0,5.00,4.00,168.00,91.00,1.00,0.0000,0.1900,0.7700
cb75f1f9cc69e3b1a27b8d9c08bb73a58ede24be,0,8.00,15.00,137.00,78.00,1.00,0.0000,0.4100,0.4200
d15936195ef6485a340023596d4e43de03a43d7c,0,6.00,7.00,103.00,135.00,1.00,0.0000,0.3400,0.4300
87183160d172d2e084d327b86bcb7c1d8e6784ef,1,4.00,14.00,187.00,71.00,1.00,1.0000,0.5000,0.3100
f9e3f90ce1ce4e80a06bf4d6595107a906632545,1,3.00,7.00,190.00,78.00,1.00,0.0000,0.2500,0.5100
f3c20a470b3edbb69751e3becd89071c43de4df6,0,3.00,7.00,182.00,83.00,1.00,0.0000,0.4800,0.3100
c9b4e1baa35ea94d0ac7bc41ebf8af663af240f0,0,4.00,15.00,110.00,96.00,2.00,1.0000,0.7200,0.8600
1c9dceec2df0f6a68f45adf2dd32a96d62223972,0,4.00,9.00,173.00,63.00,1.00,1.0000,0.2800,0.8800
c0db0cf992663fe914dc1bfb68c4c2ebeef9076e,0,3.00,13.00,186.00,52.00,2.00,1.0000,0.5700,0.4000
d3e8bf098639f627dba56adfa7355d0ff68a568f,1,5.00,11.00,113.00,96.00,1.00,1.0000,0.4100,0.6500
2b295141046ea3de9191c5b34155b895a662f2e2,0,1.00,5.00,152.00,136.00,4.00,0.0000,0.2200,0.7900
ba0ff84f1699dc087c8e4e37277028b306f86a0b,1,7.00,15.00,190.00,50.00,3.00,1.0000,0.1100,0.3200
776705342189d85200b32a7e93dbc266eb2a37bf,1,3.00,6.00,136.00,68.00,1.00,0.0000,0.8900,0.5800
3e9cec0752fd703f83dad51d2843242c79d3bb76,0,1.00,5.00,115.00,58.00,6.00,1.0000,0.3900,0.6600
015e395aaa541574ea7b33a7803f67374c11c129,1,1.00,17.00,100.00,83.00,3.00,1.0000,0.7200,0.6100
546d982c52e6fb32be924696ddf76af23aeda2a9,1,6.00,8.00,175.00,133.00,3.00,1.0000,0.3500,0.6100
8f8cdd153565c17afc1b598bbf87c1bddba9079f,1,7.00,10.00,149.00,85.00,1.00,1.0000,0.4200,0.6300
01994584b072da3f9ee0723961073ce1beddf75d,1,7.00,15.00,189.00,82.00,2.00,1.0000,0.1500,0.4900
a4d21c56dccd37323285c93f18fdbdc2d662ac20,0,8.00,9.00,134.00,66.00,6.00,1.0000,0.3700,0.4700
54e65bb79107820e7c76922ace1f8fc8954ae6ba,0,1.00,19.00,136.00,116.00,3.00,0.0000,0.7100,0.5100
6dfef5bc94b031407ffe71ae8076ca0fbf190963,1,6.00,8.00,185.00,53.00,3.00,1.0000,0.4400,0.4800
e58028386395fa1b088939a72c55cd27322af98a,0,6.00,17.00,195.00,118.00,1.00,0.0000,0.1500,0.6400
83d5ba858f406bb9270270b91bae1017fca15a87,1,6.00,15.00,197.00,95.00,2.00,0.0000,0.5200,0.3700
69ce8384d4163d35eb1ecc3809a09fb5734c06cc,0,7.00,10.00,101.00,79.00,1.00,0.0000,0.7200,0.8200
3185b97d4d53458cdd7b6fd38ae9ff81e33bbdcc,0,4.00,5.00,122.00,96.00,10.00,1.0000,0.6700,0.5900
2b93a1d645f439d6adf4c9f1324df35c0739f3f6,0,8.00,11.00,140.00,145.00,1.00,0.0000,0.2700,0.2800
eb043670e1ea122b79128adce0e249e896a5b4df,1,6.00,13.00,188.00,89.00,2.00,0.0000,0.4900,0.6300
159d74c7988a6586fec6f947d72a8aac749408b7,1,1.00,6.00,153.00,83.00,2.00,0.5000,0.2000,0.5600
2f02388d82c4804718f7ab90e14f5bb2566577c7,1,5.00,4.00,191.00,77.00,1.00,1.0000,0.7800,0.2400
625b93bd79d3ac2a15067188086fee08f3bc1769,1,5.00,16.00,179.00,102.00,1.00,1.0000,0.1100,0.6100
2d7f32a2566cc96a14c153b719c6aafef1b3c4ad,1,7.00,13.00,149.00,75.00,1.00,0.0000,0.2800,0.7000
556b5712c2a7cc5506fbfa785b52536fb8243765,1,7.00,7.00,122.00,92.00,165.00,0.5091,0.1900,0.6200
0e12afaf069a945b459b12c6c309408787184efe,0,1.00,17.00,119.00,141.00,3.00,0.6667,0.4600,0.3900
8e3616feae00a054714d6ca221e45160ec891c6c,0,5.00,6.00,173.00,135.00,1.00,0.0000,0.2200,0.5000
7d541bf9c07571ae68ce9dd8618cd7cea74ad7a9,1,2.00,12.00,188.00,113.00,3.00,0.0000,0.2100,0.2500
bd145d3efcc9d3e93455099718a3a4128b2534a4,0,8.00,16.00,107.00,103.00,1.00,1.0000,0.6500,0.5400
b052a24af1f3db783dd1243cb36e3097fea70937,1,5.00,12.00,106.00,66.00,1.00,1.0000,0.6300,0.6500
d67a43c5417b9cadfe25751bbce17328bce268ce,0,5.00,6.00,130.00,58.00,1.00,1.0000,0.6600,0.5100
4a29df8a7967b36664f256f18dacf2e58e9f1e7e,0,4.00,13.00,155.00,89.00,1.00,0.0000,0.2600,0.7300
8b1bc978865fdd507004f33ba5b52466386fd746,0,5.00,8.00,155.00,142.00,2.00,0.0000,0.1400,0.6500
35c2184963555c5cc963a6ec748bf0f4651db251,1,5.00,19.00,102.00,83.00,3.00,1.0000,0.5900,0.4800
d0e8ebab1f89a0418fc4fb81ebf4e741c9aff222,0,6.00,4.00,174.00,80.00,1.00,0.0000,0.8200,0.7600
eabb24d99e0e849b99ad3064d8bebf5672b8c437,1,2.00,11.00,171.00,130.00,2.00,0.0000,0.1700,0.2600
0cbe5c1efbf22666e295c7c3d3c55057be3043e4,0,7.00,14.00,173.00,129.00,3.00,1.0000,0.8900,0.5100
20692853190924a9013be9f3c19ad6e6f82e8c3a,0,1.00,7.00,107.00,50.00,2.00,1.0000,0.8700,0.8300
dc534b5fdf7364dbd69cc0e88f0a78941bcf9110,0,1.00,18.00,109.00,96.00,4.00,1.0000,0.7300,0.8100
05b0aac3ca0abd9bfa27fa918aab8362600d558c,0,8.00,19.00,106.00,63.00,2.00,1.0000,0.8600,0.7400
db6e97388516691c7f9df54b7edae560c0dccdf8,0,4.00,7.00,133.00,108.00,1.00,0.0000,0.1200,0.4800
6b8356190b6ae742fa9ea32f7d02aa82ddf5c3ed,1,2.00,17.00,105.00,96.00,2.00,0.0000,0.1700,0.6000
413fd41bf26af4e36fea2963ba8245e0a64933c3,1,3.00,5.00,179.00,66.00,1.00,1.0000,0.8500,0.3500
e568b57fa507b0319d80b477fec25ea454e2112d,1,7.00,10.00,194.00,76.00,2.00,0.0000,0.7800,0.7900
8dc549a1495e2baddfac568624ea402e98a09acf,1,7.00,14.00,121.00,51.00,2.00,0.0000,0.4400,0.6000
edd8f810bcb8440609d7676fc313800696ce451a,0,5.00,15.00,155.00,60.00,2.00,1.0000,0.4300,0.4300
254404cec5dde4f563bd2493c037228fc6e55172,0,3.00,9.00,166.00,101.00,3.00,1.0000,0.6900,0.5100
58e9c068c3a92801b0c1fe16a21c882aaf33403b,1,1.00,19.00,117.00,104.00,1.00,1.0000,0.5200,0.3100
d8073d15dad7e88fbdd74a21b01345fad7787995,1,4.00,5.00,102.00,69.00,2.00,0.0000,0.2300,0.8200
19706384953ea11dc3bf7ba862304321a954b17e,0,1.00,10.00,101.00,58.00,1.00,0.0000,0.1500,0.2500
2fba357f0f2bfa5fbbc4b6f70f25a32bdc30cc97,1,2.00,7.00,106.00,73.00,2.00,0.0000,0.3000,0.2300
4d4903f01f5769cf04d3e19cd43ea1955758bc84,0,5.00,6.00,180.00,95.00,1.00,1.0000,0.8300,0.3200
8eafab8c0366e5194e2642848ecee949fde75400,0,5.00,15.00,122.00,106.00,1.00,0.0000,0.1900,0.6200
61b3fcfc7db4c6850f6e3704eb18d8d3993086a6,0,4.00,6.00,198.00,62.00,2.00,0.0000,0.3900,0.3600
1b781588f1a9e7c0706d0505613595550f7c3178,0,4.00,18.00,115.00,124.00,1.00,1.0000,0.3700,0.4700
f8a46b71ac11fca2410a84fbf02adc83977290c5,1,1.00,19.00,107.00,99.00,1.00,0.0000,0.5000,0.8900
17294ae754f6c749bfc6958b4f3aee8f8442029f,1,4.00,5.00,104.00,59.00,1.00,0.0000,0.3500,0.3600
265fdfa59e85bd2ec0c82fff82439c7310215511,1,7.00,15.00,133.00,59.00,2.00,0.5000,0.7500,0.4200
48a273e8675d6fbdd0e3eac5e27f16c92c13ae3c,0,8.00,15.00,132.00,51.00,2.00,1.0000,0.2400,0.2800
6a30c556d5f06650d605709904b6448ed0094801,1,4.00,10.00,196.00,117.00,4.00,1.0000,0.7400,0.5400
