Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,2347,2000,1391,0,1752764361138,1752764361338,10339777,7188820,0
2,0,2994,2000,658,1132,1752764365974,1752764366189,19920542,6502058,11343048
3,0,5624,2000,1178,347,1752764371056,1752764371241,21394583,11533576,5207894
4,0,6598,2000,768,788,1752764375964,1752764376175,27319731,8098571,14802430
5,0,7315,2000,1431,0,1752764381049,1752764381223,28842063,20636195,0
6,0,8338,2000,439,1409,1752764385964,1752764386137,40721687,7075373,31254684
7,0,10218,2000,724,1037,1752764391062,1752764391338,45483923,13979530,26888783
8,0,11973,2000,1374,172,1752764395973,1752764396201,41784129,28250644,4185616
9,0,13579,2000,1009,688,1752764401141,1752764401363,54098637,23192916,23926640
10,0,14515,2000,880,814,1752764406042,1752764406255,55919893,20994926,27625417
11,0,13476,2000,1247,338,1752764411265,1752764411496,57021061,31166110,15400208
12,0,12231,2000,881,822,1752764416077,1752764416333,65137902,25280843,31335209
13,0,10896,2000,1322,218,1752764421138,1752764421387,67218153,41041200,11899610
15,1,7782,2000,479,103,1752764431239,1752764431418,75039010,17706485,4695933
16,1,6078,2000,547,59,1752764436686,1752764436912,78265016,21252316,2841212
17,1,4246,2000,318,958,1752764441276,1752764441439,92425457,12324857,52301753
18,1,2396,2000,222,1676,1752764446273,1752764446491,130661601,12865514,111938749
19,1,619,2000,101,1863,1752764451195,1752764451417,129012075,5339537,121781922
20,1,101,639,0,639,1752764455882,1752764456080,40576240,0,40576240
21,1,19,131,0,131,1752764460850,1752764461313,7687043,0,7687043
22,1,0,77,0,77,1752764465834,1752764465947,4953773,0,4953773
23,1,0,0,0,0,1752764470816,1752764470944,0,0,0
24,1,0,0,0,0,1752764475814,1752764475952,0,0,0
25,1,0,0,0,0,1752764480815,1752764480889,0,0,0
26,1,0,0,0,0,1752764485817,1752764485924,0,0,0
27,1,0,0,0,0,1752764490816,1752764490876,0,0,0
28,1,0,0,0,0,1752764495817,1752764495878,0,0,0
30,2,0,0,0,0,1752764505816,1752764505898,0,0,0
31,2,0,0,0,0,1752764510817,1752764511038,0,0,0
