ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.ClockFrequency,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.CPU.CacheSize,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.Uptime24h,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.TransactionCapability.ResourcePerTx.CPUPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.MemPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.DiskPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.NetworkPerTx,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.EconomicContribution.FeeContributionRatio,OnChainBehavior.SmartContractUsage.InvocationFrequency,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.GeoLocation.DataCenter,NetworkTopology.GeoLocation.Region,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.Hierarchy.Depth,NetworkTopology.Hierarchy.ConnectionDensity,NetworkTopology.Centrality.IntraShard.Eigenvector,NetworkTopology.Centrality.IntraShard.Closeness,NetworkTopology.Centrality.InterShard.Betweenness,NetworkTopology.Centrality.InterShard.Influence,NetworkTopology.ShardAllocation.Priority,NetworkTopology.ShardAllocation.ShardPreference,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Compute.CPUUsage,DynamicAttributes.Compute.MemUsage,DynamicAttributes.Compute.ResourceFlux,DynamicAttributes.Storage.Available,DynamicAttributes.Storage.Utilization,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,DynamicAttributes.Transactions.StakeChangeRate,DynamicAttributes.Reputation.Uptime24h,DynamicAttributes.Reputation.ReputationScore,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.SupportedFuncs.Priorities,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
3,3.6,x86,24,23,DDR4,8.1,0.5,HDD,411,580,9860,46ms,0.972,false,32.9,18.6,285.3,nodeA:164;nodeB:252;nodeC:56;nodeD:139,shard1:370;shard2:351;shard3:388,1078ms,0.08,0.03,0.027,0.06,26s,1.6s,0.14,4710,0.78,0.22,0.15,13.2,0.91,UTC+3,Yandex Cloud,ru-central1,38,38,95.0,31,5,0.89,0.35,0.66,0.44,0.54,1,shard1:0.4;shard2:0.6,0.79,78.1,86.6,0.12,0.2,0.7,3.2,108ms,0.66,370,52ms,0.13,0.984,77.9,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,active,233,524
16,2.8,ARM,112,104,DDR4,79.1,4.1,SSD,879,1910,21010,78ms,0.984,true,86.0,50.0,645.7,nodeA:297;nodeB:256,shard1:77;shard2:146;shard3:315,264ms,0.2,0.14,0.038,0.06,5s,0.4s,0.39,4812,0.63,0.37,0.71,38.5,0.96,UTC+8,AWS,ap-southeast-1,32,35,84.5,32,5,0.9,0.25,0.66,0.61,0.5,1,shard1:0.6;shard2:0.2;shard3:0.2,0.73,56.5,45.9,0.09,1.2,0.55,7.9,225ms,0.83,1176,87ms,0.14,0.965,72.3,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,idle,1755,1821
44,4.2,x86,220,190,DDR4,59.7,21.6,NVMe,645,2148,23628,161ms,0.977,false,58.7,21.5,795.4,nodeA:139;nodeB:230;nodeC:42;nodeD:182;nodeE:262,shard1:245;shard2:247;shard3:389;shard4:383,1969ms,0.08,0.14,0.034,0.02,27s,3.3s,0.31,3503,0.73,0.27,0.69,12.9,0.9,UTC+3,Yandex Cloud,ru-central1,34,37,89.5,21,2,0.48,0.77,0.52,0.85,0.5,1,shard1:0.5;shard2:0.5,0.64,49.4,63.2,0.4,10.7,0.39,8.5,196ms,0.52,1612,606ms,0.12,0.996,93.0,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,high_load,2956,539
44,2.2,ARM,220,135,DDR5,89.3,15.5,NVMe,558,1806,30702,86ms,0.988,false,38.6,58.6,438.5,nodeA:256;nodeB:150;nodeC:255,shard1:391;shard2:54;shard3:288,264ms,0.26,0.13,0.044,0.04,15s,3.1s,0.37,4097,0.75,0.25,0.12,4.4,0.92,UTC+9,Alibaba Cloud,ap-northeast-1,39,10,54.0,32,2,0.79,0.7,0.28,0.23,0.38,1,shard1:0.6;shard2:0.1;shard3:0.3,0.52,81.7,44.1,0.18,4.5,0.62,8.9,112ms,0.41,211,674ms,0.26,0.98,69.2,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,maintenance,2488,343
5,4.1,ARM,15,20,DDR4,14.5,0.7,HDD,510,685,8905,13ms,0.978,false,89.5,35.7,294.5,nodeA:78;nodeB:259;nodeC:58;nodeD:92,shard1:396;shard2:395,1448ms,0.15,0.02,0.044,0.08,6s,1.7s,0.32,2444,0.71,0.29,0.24,40.3,0.84,UTC-8,AWS,us-west-2,42,13,61.5,41,2,0.89,0.65,0.44,0.45,0.55,2,shard1:0.9;shard2:0.0;shard3:0.1,0.54,49.2,73.6,0.11,0.2,0.62,14.6,291ms,0.63,608,218ms,0.08,0.99,78.3,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,high_load,1308,1578
5,2.9,ARM,35,29,DDR4,12.5,1.1,SSD,500,210,1890,154ms,0.973,false,63.4,81.0,132.0,nodeA:252;nodeB:66,shard1:158;shard2:378;shard3:377;shard4:355,1349ms,0.11,0.03,0.042,0.09,14s,3.0s,0.14,471,0.78,0.22,0.28,25.1,0.82,UTC+1,Azure,europe-west,59,34,110.0,40,5,0.68,0.72,0.89,0.62,0.7,5,shard1:0.1;shard2:0.9,0.7,91.8,27.1,0.18,0.5,0.87,13.0,70ms,0.94,802,607ms,0.27,0.982,62.3,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,idle,1230,438
16,3.4,x86,96,59,DDR5,41.7,2.6,HDD,551,2115,4230,126ms,0.964,true,88.9,84.1,678.2,nodeA:215;nodeB:291;nodeC:170;nodeD:252,shard1:359;shard2:270;shard3:100;shard4:108,1735ms,0.09,0.11,0.006,0.01,30s,7.4s,0.28,229,0.47,0.53,0.72,37.3,0.9,UTC-5,Google Cloud,us-east-1,70,33,119.5,58,2,0.59,0.29,0.68,0.68,0.75,5,shard1:0.4;shard2:0.6,0.64,71.8,27.0,0.4,1.8,0.56,2.5,247ms,0.35,215,379ms,0.19,0.953,70.5,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,maintenance,2693,1248
2,2.8,x86,8,29,DDR5,12.4,1.9,HDD,605,168,672,126ms,0.991,false,26.5,21.8,234.7,nodeA:199;nodeB:23;nodeC:112;nodeD:93,shard1:386;shard2:255;shard3:85;shard4:122,1762ms,0.08,0.03,0.048,0.06,26s,2.1s,0.21,3564,0.75,0.25,0.53,48.5,0.91,UTC+0,Digital Ocean,europe-central,23,37,78.5,14,3,0.73,0.29,0.28,0.78,0.42,3,shard1:0.2;shard2:0.8,0.78,82.5,79.9,0.39,1.3,0.67,10.0,33ms,0.7,1397,760ms,0.09,0.959,86.7,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,high_load,1365,1937
8,3.8,x86,64,104,DDR5,62.2,7.2,NVMe,559,822,2466,112ms,0.983,true,39.0,61.3,640.0,nodeA:78;nodeB:227;nodeC:30;nodeD:186,shard1:366;shard2:285,1005ms,0.15,0.05,0.028,0.04,8s,1.0s,0.3,4086,0.61,0.39,0.79,11.8,0.99,UTC+8,AWS,ap-southeast-1,10,18,37.0,7,3,0.8,0.75,0.43,0.2,0.5,4,shard1:0.2;shard2:0.6;shard3:0.2,0.58,54.7,70.7,0.23,5.0,0.78,2.0,41ms,0.58,991,129ms,0.26,0.978,81.8,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,active,2722,905
4,3.9,ARM,12,18,DDR4,12.4,0.6,NVMe,236,643,11574,175ms,0.96,false,74.3,39.6,289.6,nodeA:184;nodeB:263;nodeC:276,shard1:81;shard2:280,1421ms,0.25,0.05,0.012,0.03,24s,2.1s,0.33,717,0.47,0.53,0.56,25.2,0.94,UTC-3,AWS,sa-east-1,51,25,88.5,29,5,0.34,0.48,0.44,0.32,0.23,5,shard1:0.7;shard2:0.3,0.54,60.0,27.4,0.18,0.2,0.69,14.7,66ms,0.7,1088,443ms,0.14,0.977,90.1,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,idle,268,971
