node_id,f_classic_000,f_classic_001,f_classic_002,f_classic_003,f_classic_004,f_classic_005,f_classic_006,f_classic_007,f_classic_008,f_classic_009,f_classic_010,f_classic_011,f_classic_012,f_classic_013,f_classic_014,f_classic_015,f_classic_016,f_classic_017,f_classic_018,f_classic_019,f_classic_020,f_classic_021,f_classic_022,f_classic_023,f_classic_024,f_classic_025,f_classic_026,f_classic_027,f_classic_028,f_classic_029,f_classic_030,f_classic_031,f_classic_032,f_classic_033,f_classic_034,f_classic_035,f_classic_036,f_classic_037,f_classic_038,f_classic_039,f_classic_040,f_classic_041,f_classic_042,f_classic_043,f_classic_044,f_classic_045,f_classic_046,f_classic_047,f_classic_048,f_classic_049,f_classic_050,f_classic_051,f_classic_052,f_classic_053,f_classic_054,f_classic_055,f_classic_056,f_classic_057,f_classic_058,f_classic_059,f_classic_060,f_classic_061,f_classic_062,f_classic_063,f_classic_064,f_classic_065,f_classic_066,f_classic_067,f_classic_068,f_classic_069,f_classic_070,f_classic_071,f_classic_072,f_classic_073,f_classic_074,f_classic_075,f_classic_076,f_classic_077,f_classic_078,f_classic_079,f_classic_080,f_classic_081,f_classic_082,f_classic_083,f_classic_084,f_classic_085,f_classic_086,f_classic_087,f_classic_088,f_classic_089,f_classic_090,f_classic_091,f_classic_092,f_classic_093,f_classic_094,f_classic_095,f_classic_096,f_classic_097,f_classic_098,f_classic_099,f_classic_100,f_classic_101,f_classic_102,f_classic_103,f_classic_104,f_classic_105,f_classic_106,f_classic_107,f_classic_108,f_classic_109,f_classic_110,f_classic_111,f_classic_112,f_classic_113,f_classic_114,f_classic_115,f_classic_116,f_classic_117,f_classic_118,f_classic_119,f_classic_120,f_classic_121,f_classic_122,f_classic_123,f_classic_124,f_classic_125,f_classic_126,f_classic_127
0,-217.072937,1946.247070,804.085388,328.964630,699.255493,741.025757,-2649.286377,1139.310547,3276.793213,1144.084229,-2632.241943,-1032.949707,-4747.017578,-2489.803711,-2663.784668,1459.450195,-3898.365967,-488.344391,3128.495361,395.171875,4573.403809,-1232.166870,-1509.813721,-1005.630981,-2899.775146,985.766785,-1237.759644,-765.364746,2896.664062,-2846.410645,-3128.666260,-90.024071,-1245.380005,-687.626953,1340.376343,-1358.834473,-1011.780151,2519.557129,-528.582825,-1317.723511,-713.107971,-2510.925049,1378.845459,1415.969849,-3249.970947,-2991.122559,999.525818,2332.280518,-1311.068481,3333.084229,966.761658,-579.580627,-1967.699585,1565.942871,-128.858994,-1123.324707,1346.493286,-4693.755371,-2018.212524,709.740662,-986.685364,1915.928467,2963.175781,819.466736,-1586.580322,156.782700,640.877441,-496.696014,3864.911133,-2246.035156,-2067.994629,420.658722,678.660645,-2647.418701,-963.481689,2435.564941,2226.734375,189.471924,352.045532,-742.482544,2271.126221,3362.777832,489.874237,-1338.111450,-1992.257568,1987.506104,1369.874146,2051.458740,-1297.870972,2434.370117,-213.841217,138.269989,-1613.985352,3114.761963,-1133.781128,-816.172546,833.010559,6.446771,1623.289673,-4703.219727,2030.616699,1053.136841,2834.934326,1811.161987,-2075.252441,-1247.080200,3079.252197,-937.054810,-1425.907227,1192.731567,995.605835,220.833832,3362.643311,2755.262939,2281.107666,-2903.067139,1406.986450,-990.305237,-1202.006226,-1998.286621,3034.878174,-3332.498535,-2090.661377,3650.818848,4763.354004,-1306.231323,-2606.781006,2003.823608
1,572.742737,1318.911499,1106.678833,647.521301,2752.171387,-896.280701,-868.783142,979.336487,1433.623169,-1347.895874,-2187.396484,-2573.386230,-3816.522949,-3397.870361,-3036.793213,931.010010,-2495.663574,309.365143,2264.893555,487.673340,2896.393066,-901.944397,448.546417,-1019.345032,-203.330536,889.980896,2875.420898,1327.742920,2699.893311,-3031.105957,-938.866699,-3246.099854,724.080017,-1150.811890,178.134918,-3617.162842,85.448387,1600.626831,-65.428535,-618.523743,-601.095520,-1035.326904,-115.247040,1574.864014,-1519.308960,-2746.445557,1772.800293,3058.410400,555.594482,3776.183350,-855.156433,-2471.354980,-189.559830,-2124.503174,3168.197021,536.405457,-1281.227173,-3989.594971,211.372330,334.138397,-2030.706787,982.982727,2758.154053,2875.752441,-2012.932373,-1578.950928,-2028.471558,-415.569916,3302.765137,-2632.220215,-3426.013428,1278.307251,-1955.172485,-923.935486,1083.421875,1660.535889,862.246704,-970.033264,1535.588379,-1208.898926,861.354614,2029.864014,-516.007385,-1256.841797,683.330505,-958.523560,-2633.198486,5.769454,-774.188782,1182.312500,22.997896,-2343.786865,-1852.280029,2267.714111,-2396.699219,1710.763428,1420.187988,542.321655,821.816956,-3325.542969,613.154785,3740.079834,457.450317,-1593.356323,170.920074,-911.837402,1975.838013,-1557.033447,-1082.810425,-297.385162,598.918518,-173.329254,3511.386963,2968.660400,158.822952,-1868.020752,494.787323,24.133118,-2.131116,68.158348,-63.688702,-1189.981689,-333.646881,3664.330811,3765.402588,-14.517621,414.924591,135.524796
2,991.714966,872.305420,37.632919,1157.106445,1935.952759,173.114182,-545.549683,2299.862061,2084.751465,-984.888733,-3037.032227,-2274.044922,-2991.515137,-3032.324219,-1770.775146,1053.362427,-2206.434570,-954.875732,1018.496704,159.804276,2697.331543,-852.083923,685.506226,25.691238,-1223.319946,-210.128601,1856.721802,559.015869,1580.248291,-2084.616211,-1041.143555,-2527.186523,710.229126,-998.012451,-268.459442,-2520.608154,-463.638916,743.713318,-500.687836,506.430176,-877.696960,-1102.555298,-864.548462,587.296448,-1422.202393,-1994.539673,576.110962,2836.929443,1407.625366,3388.467285,-1185.807983,-1728.557251,-1446.000000,-840.725281,2314.707275,-745.355225,-279.598267,-3509.358154,-91.938194,-644.549744,-1856.780396,15.186357,1616.147583,1906.337891,-1117.694580,-130.345306,-1164.526611,276.622864,3028.052246,-1752.176758,-3296.648926,548.152954,-1280.148438,-1260.513428,1225.371216,1764.665894,1401.822998,-272.222748,1496.837646,-1310.459961,1404.998413,2631.044434,654.221924,-1317.258057,682.067505,-415.262695,-1498.532959,1474.069824,54.387512,725.606384,-923.084473,-2290.635498,-1878.301147,1891.729980,-1687.499512,1546.735474,1042.583496,-179.656006,250.714752,-3308.118164,1070.677002,2610.081543,1040.738281,-1177.375122,-775.715515,-1738.181396,1542.698242,-2498.483643,-212.811935,1002.135986,147.261459,-1562.475952,3390.995117,2280.882568,827.285522,-2492.480713,158.882706,1184.005615,1318.818970,483.310913,852.859924,-1547.235840,-711.452820,3459.177734,2957.222168,-1394.385864,-431.008789,594.887451
3,-789.673645,1366.676147,993.159851,-963.415894,596.546753,-813.433655,-1344.702759,-1030.243042,407.590485,-98.835777,-691.073547,-318.642242,-3166.379150,-720.499817,-2164.248779,1007.598694,-2183.315674,1805.619385,2295.109375,-289.025146,1830.096436,-1373.065918,-996.435913,-1963.608276,533.401428,2061.617676,1182.242065,723.639771,3055.084717,-1920.387207,-561.154297,879.926208,-897.860474,638.262573,1810.575439,-941.482727,151.869873,2332.556152,293.989746,-1612.540039,532.112671,-862.545593,2585.101562,1605.242188,-1754.010986,-2056.052490,2110.556152,142.186661,-1348.587769,1312.572388,923.650085,-1220.673340,194.089828,-100.598061,1040.279663,793.195190,-1312.583984,-2010.133057,-214.671814,1694.758911,33.326279,2205.188232,2197.400879,438.589935,-884.107544,-1099.189331,-1142.294922,-1343.492676,2283.513916,-2487.527588,-623.313965,1140.270264,152.389328,-393.265686,-425.156158,234.682190,896.903137,-1305.021118,149.788345,-91.057266,263.001190,553.860657,-840.589172,-642.132019,-1541.032227,864.421692,116.646278,76.877518,-1631.300781,1185.986450,1705.203491,949.156494,-149.044388,1217.592773,-897.306946,-426.767334,138.905701,590.746460,1807.318359,-1973.287231,-182.319595,775.240417,1062.917603,352.673187,-573.228943,1058.099731,2017.032837,529.077515,-2477.713135,-827.822510,1668.023804,2301.173828,1241.529907,1241.236572,412.309326,-110.642876,1729.775757,-2647.936035,-1933.858276,-1281.653809,1269.366333,-966.770691,-433.799164,1840.585938,3183.385986,934.747925,-582.282837,674.738586
4,-232.450989,624.467285,643.602417,-610.573059,661.781006,-835.526123,-304.921356,-830.006775,-362.798676,-507.537537,-116.281853,-417.858276,-1529.322266,-313.306610,-1247.725464,384.276154,-934.000122,1339.714355,1162.373047,-181.174347,486.999908,-737.235168,-201.858459,-1295.428833,806.649841,1150.368164,1386.008179,838.135620,1645.486328,-1053.930664,226.029221,82.559303,-108.178368,362.545319,898.168274,-989.909729,419.752930,1183.315186,294.909515,-907.294800,510.954803,-189.914780,1274.034058,968.090698,-727.567566,-947.036926,1521.069580,-66.236168,-491.657196,584.248840,137.972458,-1081.668701,537.247009,-781.138611,1061.046265,744.284546,-1353.095215,-849.804077,399.069458,877.605469,-282.192810,1134.791382,1101.448730,496.428253,-523.804016,-1145.860352,-1116.103149,-747.254333,1057.456421,-1416.614746,-267.542175,777.873840,-419.890472,191.963898,179.485321,-207.071823,208.919891,-1045.345459,264.142273,6.704751,-234.887970,-154.185791,-780.977478,-63.671459,-308.891632,-23.901161,-610.215759,-394.524963,-864.589844,461.142151,1009.573914,97.043266,-1.007874,337.478210,-638.225281,226.540710,210.463791,480.397064,833.244629,-730.302124,-369.927795,814.297668,169.197281,-385.721832,178.557938,834.345886,776.131348,313.344849,-1335.532593,-784.959534,900.713562,1221.716553,564.716125,644.055237,-418.035461,429.811279,838.620483,-1448.032227,-916.481689,-266.765747,16.835194,-40.614319,23.643202,716.406433,1453.544678,876.898315,306.615265,93.620972
5,2632.379883,784.069031,-1212.502930,4090.654297,3887.396484,2506.606689,-631.793274,6852.644043,6499.744629,-1021.407532,-6938.168457,-4949.873535,-4929.189941,-7296.848633,-2529.235107,1811.276733,-3648.008545,-4659.409180,1323.765381,570.532532,7318.279297,-765.106873,1789.409302,2100.721191,-5347.425293,-2951.057373,932.833069,-1064.041260,675.374390,-4287.948730,-3782.197266,-6289.935547,2343.286621,-3729.730957,-2070.633545,-4074.969971,-2599.256592,330.255615,-1405.567139,2972.154297,-3552.381348,-2744.810303,-4902.168945,-119.693184,-2414.824707,-3596.092529,-1964.884766,7513.020996,3124.711182,7782.139160,-2549.125244,-2115.015137,-5026.741211,-433.449249,3470.196045,-3612.682861,2819.071289,-8026.432617,-1709.093262,-2797.161377,-4459.394531,-1788.595093,2621.009033,3661.495361,-1777.746460,1205.247437,-522.419495,2102.977783,6249.749512,-1587.528442,-7629.336914,-428.028687,-2961.920166,-3881.454590,2865.010254,5337.865723,2588.460449,2036.170776,3812.287842,-2723.474365,3669.117432,7197.712891,2828.722900,-3422.312012,1896.471802,-152.867035,-2179.742188,4358.603516,2156.658691,1134.092407,-5076.093750,-6432.174805,-4825.611816,4619.873535,-3565.268799,3520.448975,2921.698242,-1387.551147,-1818.371826,-7254.407227,4180.302246,5037.573730,2011.754028,-1053.284180,-2537.054199,-6579.593750,2713.531738,-6349.239258,2732.373535,4747.312500,-1408.496948,-6460.341797,7739.714355,5259.612305,3219.040283,-7739.594238,-1633.558472,5437.953125,4859.831543,1163.617310,2277.488281,-4877.967773,-2588.102051,7301.707031,4659.780273,-5066.248047,-2137.101807,1218.349854
6,-505.814117,1328.697388,1395.279907,-984.625488,1078.715454,-1400.577393,-1062.325439,-1340.720093,-293.878784,-399.516022,-164.852112,-610.317261,-2810.333740,-727.390259,-2325.287354,707.158752,-1923.027466,2028.113281,2372.136963,-31.492809,1144.295288,-1065.326050,-700.539612,-2085.870605,1041.714111,2106.764160,1777.132812,1203.388184,3044.025635,-1868.345337,-184.108246,66.777679,-621.619141,402.437439,1513.283325,-1583.605591,633.205139,2126.302979,451.469269,-1760.381104,703.112976,-628.857178,2300.427246,1703.447266,-1495.278564,-1885.997559,2436.153564,149.768982,-1077.892212,1166.095337,604.939819,-1497.317749,868.571045,-963.481812,1388.844360,1220.514648,-1744.906006,-1799.274414,263.669586,1614.722168,-289.561432,2020.557129,2165.182373,960.350281,-1245.404785,-1746.729736,-1507.312500,-1348.736328,1850.921265,-2444.147705,-519.384888,1284.915771,-354.511780,69.294151,-290.137329,-42.259323,504.615112,-1648.945801,137.196426,-38.817101,-66.935875,67.144249,-1313.064453,-197.756424,-919.382874,157.132751,-774.021790,-717.783875,-1753.800415,1165.035522,1773.184326,560.676880,-110.201576,983.562012,-966.233093,-109.289192,366.897491,848.600098,1695.566650,-1568.445312,-433.081329,1304.401978,590.088440,-297.957672,159.632523,1353.999634,1681.900146,753.903687,-2443.833252,-1428.848267,1467.789062,2281.761230,1059.988770,1292.586304,-415.461792,501.923370,1555.068115,-2538.187988,-2108.556396,-942.435852,327.978271,-215.203094,-73.600128,1403.312744,2807.955322,1382.967285,263.777344,324.263092
7,-654.487366,2472.556641,1263.344971,218.202011,78.455757,998.517395,-3766.504395,875.543396,3891.980713,1920.249512,-2705.061768,-514.781006,-5612.354004,-2264.257812,-2857.055664,1786.656006,-4783.803711,-536.826111,3952.645508,564.416260,5288.091309,-1216.659302,-2490.901855,-1284.428833,-3717.426025,1412.930176,-2441.709473,-1322.170776,3570.477051,-3120.544922,-3884.293701,662.203918,-1945.110596,-455.653748,2072.457520,-975.878906,-1171.680542,3287.476318,-883.419800,-2044.354004,-704.423096,-2999.090332,2169.044922,1581.571167,-3847.081787,-3333.698975,1324.464111,2459.440674,-2205.397217,3617.715820,1683.070801,-187.975494,-2297.160889,2498.791016,-1132.816895,-1124.998413,1887.084595,-5318.625488,-2794.989014,1068.313721,-638.540649,2743.209961,3450.889160,759.070740,-2016.873291,574.305664,1523.735718,-759.172607,4194.458496,-2487.455078,-1789.729248,274.546204,1484.040894,-3437.666016,-1851.590942,2736.793701,2568.866211,516.734192,-264.649872,-930.273743,2807.522949,3925.252441,571.196045,-1327.977295,-3238.860352,2864.450684,2394.475830,2439.308350,-1885.986328,3362.567139,26.829481,1034.012451,-1646.752686,3635.639404,-1074.814087,-1636.436523,763.765686,303.151611,2302.146240,-5529.189941,2195.609619,429.287231,3705.241943,2983.751953,-2784.098145,-1154.569824,3891.709717,-715.743958,-1847.709229,1146.525879,1332.183228,913.645386,3540.859131,3109.795654,2952.810547,-3080.902832,1787.382690,-1573.822388,-2235.814941,-2907.216309,3859.238281,-3990.536133,-2529.698486,3990.569824,5425.240723,-1266.676147,-3656.541748,2434.760986
8,-543.060486,1461.113403,1103.860229,-236.983841,1179.417969,-430.523712,-1845.297607,-196.164474,1468.371094,-7.969718,-1322.101196,-838.804871,-4040.399902,-1521.618530,-2679.645752,1046.547607,-2749.886719,1017.016357,3026.298096,237.916000,3046.177734,-1148.973389,-978.355774,-1611.329956,-690.712708,1533.034546,709.161072,403.863586,3150.103271,-2573.064941,-1456.589844,-200.107956,-657.997437,-125.262169,1643.815918,-1600.100830,-139.759430,2659.169678,5.569154,-1452.797485,-201.253311,-1236.789917,1934.127441,1499.873413,-2275.342285,-2538.194092,2081.381836,1328.709351,-1455.148193,2553.816895,834.895203,-1290.183594,-524.913513,52.236649,1023.388245,213.574844,-507.104462,-3584.635254,-665.218567,1304.448975,-652.824890,2342.054443,2963.461914,1095.587646,-1529.358643,-1116.209473,-715.733032,-988.135254,2976.071289,-2717.822510,-1395.006348,708.011414,37.597897,-1318.961182,-473.128357,1219.537476,1081.061523,-600.445801,339.623016,-350.137360,951.068054,1872.848633,-757.231018,-924.487366,-1401.164551,1002.420105,34.677731,535.662842,-1575.877197,1942.352173,758.209290,20.098066,-776.185669,2175.308350,-1531.772339,-138.705444,679.245483,678.328613,1654.328735,-3340.539062,695.155762,1260.966309,1518.030396,660.545898,-946.325317,88.095810,2586.818604,-63.683720,-1951.604736,-361.001831,1376.182983,1679.684326,2127.726562,2180.270508,1038.879761,-1190.598389,1431.917358,-1895.229370,-1708.664062,-1439.803711,1390.508179,-1855.243164,-888.434082,2969.672607,3708.316162,478.186676,-1115.462036,840.645264
9,1844.864014,2063.686279,-144.473282,3682.869385,3220.114014,2897.973389,-2962.641357,6346.334961,8165.845215,565.561523,-7323.149902,-4365.822266,-7569.225098,-7953.170410,-4060.512451,2333.865723,-5886.522461,-4434.777344,3654.297852,1202.828003,9673.899414,-1230.983398,-205.831772,1208.034912,-7246.239746,-1742.587891,-1488.916626,-2159.380371,2332.022949,-5642.838867,-6160.711426,-5164.141113,671.010742,-3745.385742,-761.199646,-3996.875244,-3052.247559,2235.472900,-1707.088257,1148.658569,-3748.124756,-4331.102539,-3193.739014,805.771667,-4386.024414,-5070.474121,-1158.319214,8230.762695,947.997192,8944.808594,-900.743835,-1735.270142,-5713.666992,1268.413940,1837.443970,-3862.791260,4167.458008,-10164.527344,-3483.212158,-1613.284424,-4174.199707,128.797272,4446.824219,3722.798828,-2938.870605,1457.225464,785.246765,1515.369995,7752.168457,-2540.851562,-7592.957031,-228.397385,-1531.446411,-5600.929688,1142.181885,6675.960938,3731.039062,2517.703613,2976.824707,-2836.196533,4980.736328,8573.249023,2676.781738,-3752.885254,-400.464874,1638.578491,-64.808769,4920.432129,922.929260,3232.025391,-4679.255371,-5106.865723,-5331.461426,6514.134277,-3698.431396,1763.495850,2966.539551,-935.421204,-263.056274,-9470.738281,5307.233398,4715.576172,4089.955811,1402.570679,-3684.561768,-6796.473145,4715.159180,-5574.061523,1616.030640,4906.020020,-559.403198,-5039.505371,8679.522461,6550.641602,4759.690430,-8752.574219,-390.563171,3931.947021,2708.356689,-1081.989014,4163.925781,-6785.168457,-3854.076904,8532.958008,7217.799805,-5271.026367,-4323.691895,2492.969482
