node_id,f_graph_000,f_graph_001,f_graph_002,f_graph_003,f_graph_004,f_graph_005,f_graph_006,f_graph_007,f_graph_008,f_graph_009,f_graph_010,f_graph_011,f_graph_012,f_graph_013,f_graph_014,f_graph_015,f_graph_016,f_graph_017,f_graph_018,f_graph_019,f_graph_020,f_graph_021,f_graph_022,f_graph_023,f_graph_024,f_graph_025,f_graph_026,f_graph_027,f_graph_028,f_graph_029,f_graph_030,f_graph_031,f_graph_032,f_graph_033,f_graph_034,f_graph_035,f_graph_036,f_graph_037,f_graph_038,f_graph_039,f_graph_040,f_graph_041,f_graph_042,f_graph_043,f_graph_044,f_graph_045,f_graph_046,f_graph_047,f_graph_048,f_graph_049,f_graph_050,f_graph_051,f_graph_052,f_graph_053,f_graph_054,f_graph_055,f_graph_056,f_graph_057,f_graph_058,f_graph_059,f_graph_060,f_graph_061,f_graph_062,f_graph_063,f_graph_064,f_graph_065,f_graph_066,f_graph_067,f_graph_068,f_graph_069,f_graph_070,f_graph_071,f_graph_072,f_graph_073,f_graph_074,f_graph_075,f_graph_076,f_graph_077,f_graph_078,f_graph_079,f_graph_080,f_graph_081,f_graph_082,f_graph_083,f_graph_084,f_graph_085,f_graph_086,f_graph_087,f_graph_088,f_graph_089,f_graph_090,f_graph_091,f_graph_092,f_graph_093,f_graph_094,f_graph_095
0,5329.670898,-2160.205078,5302.395020,-4962.640137,-451.260742,2524.635986,4777.887695,-142.793274,418.207031,-4617.624512,3096.558594,224.417114,-1433.207520,854.310669,-2052.640625,-1145.012207,-1533.472290,-3168.677979,-522.176270,4298.250488,-114.361572,-3634.276855,225.446777,-1549.091553,2923.499023,1953.010498,-231.258667,153.167603,2927.933594,-4901.740234,-2465.964844,3363.160156,628.651733,4418.347656,-957.905273,-4733.692383,-97.081787,3978.945801,-874.212708,-5648.616211,4273.332520,-2487.274170,3398.380371,955.884277,-441.673370,3443.672852,5340.070312,-5537.945801,2645.550781,2465.073242,-4635.230469,2221.908203,4624.428711,-2044.597412,243.221436,-7225.290039,4020.575928,-2839.546875,-4332.768066,1690.050293,-4092.484375,-5985.943359,1121.000854,4386.202637,-791.616211,-4125.799316,-1145.266479,-1141.782715,4275.787598,534.161377,5792.539551,908.280762,-3401.845703,-1761.555664,4397.888184,-8821.085938,4709.762695,333.487305,-7682.061523,-4297.260742,1254.803467,-3764.130371,-6627.683594,1371.526123,10671.875977,8565.539062,3979.571289,-3511.096924,2074.027588,1750.794556,1145.350952,-970.661133,134.819580,4476.083984,8680.097656,5816.000000
1,2568.256348,-1821.902954,-762.971802,-1626.810059,-2947.248047,545.964111,-4132.897949,-1107.056152,580.205688,3557.406250,3793.958008,-2888.370361,148.396912,294.111023,748.395020,1762.016113,1082.846680,-3625.668457,-121.594238,-1988.093628,-306.478882,869.563721,279.318054,1271.450439,2492.053223,1988.358887,4244.941406,472.216736,2347.547363,1367.086914,-526.719604,339.268921,18.750793,-1378.178833,-2736.904053,-2675.382568,-827.456970,2205.841553,1289.727539,-1058.142456,-2211.327637,-579.099609,-1524.372803,-1074.817139,3859.988525,119.587402,-497.323975,-1329.181274,-96.844070,-1834.040894,-1323.888916,-310.355408,2841.847656,404.978943,-3850.439453,-1714.347290,3523.983887,-821.614258,-2114.623291,3963.306641,-1689.379883,-5447.733398,2580.847168,2076.211914,1263.216309,1586.820801,-47.199219,1548.163696,-288.291412,2549.914307,1399.205078,-2750.694824,-2277.172119,144.464600,1626.117432,-2752.000977,-3543.006348,1262.833862,2282.309570,-3434.244141,-640.732727,-1526.017456,-1362.820312,2344.031494,-456.076691,930.968994,113.398499,-2424.626465,3818.111572,2571.626465,-2281.533691,188.325256,3563.363037,2908.801270,3712.565918,467.360718
2,6870.408203,-416.861694,5972.401367,3019.421875,-1043.695068,2046.073608,2456.451416,1256.886963,328.322754,-2965.551270,2147.941650,1481.200928,-3151.243896,622.432007,-2847.758789,-1169.400757,-6701.854492,-834.480957,-1479.635254,6222.275879,1324.403320,-1369.151855,-3850.737061,-964.935425,-856.805176,-935.779419,-1233.671143,728.470825,4859.684082,-3778.953125,-4148.958008,1359.126221,716.519348,3289.049805,700.303223,-5428.905273,4438.794922,5485.277344,-1379.555420,-3960.567383,3920.904297,-2414.623535,1875.713867,164.277588,538.189453,835.834351,3310.762695,652.765137,2358.634766,2874.415039,-2197.244385,5415.085938,3743.255859,-3071.464600,-2708.744629,-3190.338379,198.904755,-2528.840820,-684.339417,-1916.113525,-1570.852539,-2980.460693,85.097168,4222.571289,13.580566,359.895386,-461.238770,448.538330,2840.435059,327.035950,2845.244385,4103.732910,-3953.408203,-5671.416992,4468.724121,-4462.859863,6359.083008,-3742.138672,-3970.873291,-1486.050049,3655.135986,-796.440125,-2526.863037,-4409.234375,4309.050781,6676.405762,85.683289,-3458.771973,5149.950684,3474.661621,1977.080566,-2173.911133,-2439.313965,2168.741943,7915.771484,9307.879883
3,1066.725098,3092.045654,999.191772,-2199.501465,-2996.371582,-1055.304565,970.568848,-1859.661377,321.513184,417.201538,-2077.122314,-817.402405,2228.018799,-2588.276855,-260.579102,2025.095703,-33.368980,-674.200195,1931.340088,-2356.727051,-1740.144287,3159.039795,1339.304932,-1296.205078,-2955.801758,-241.993103,-1684.176514,-1261.314575,-1866.300537,-1161.768921,793.955566,-1119.368286,1416.984863,3006.206299,-2692.886719,-225.188492,-2129.533203,1676.156372,-1839.112549,2659.684326,1119.525146,-4101.658691,1370.561279,1517.213135,-831.931152,-1643.154419,663.000977,1781.578491,933.827637,-1265.854004,261.252380,748.309937,1987.333984,-2025.101318,2482.883789,347.207306,2497.082031,-1831.034668,-1807.929321,-90.018555,-2777.938965,-240.160156,962.385010,-481.487610,-1958.897217,896.210938,-389.230469,1418.082520,1971.707764,-44.210571,2715.266113,-1879.796021,1003.360718,3203.119873,-693.301819,-516.636780,-1925.791382,-1539.243408,-1230.375244,-5230.606445,414.344177,727.669556,-417.393677,-1043.973145,1899.639893,-1724.705322,-221.970520,-3084.621826,3275.417480,-2326.842041,-1792.103027,2254.968262,2799.594727,1300.355469,1966.821777,-1061.254028
4,321.042908,178.104584,2210.949951,-2745.724609,-2052.865234,-179.147156,-308.929626,-1648.682739,670.300049,426.229492,-1289.826050,-1181.291260,2557.714355,-1475.279419,-47.538574,1865.660767,-676.364807,-258.585205,953.126160,-2218.808105,112.945679,663.591431,761.207275,-781.258362,-1610.840088,1515.737915,-2366.987549,-838.855103,-2665.522461,-288.790039,1224.883545,746.099365,-189.233566,1779.484131,-2243.549316,-202.081436,-3309.848389,815.567261,-247.718613,1500.907349,-2.414185,-2712.974365,-1348.523682,3063.070312,214.134888,-127.592651,1748.736450,695.816040,115.275421,297.829224,451.109497,1713.264160,1470.895996,-1935.554688,1818.007080,1237.656006,991.781433,-2976.660889,-1337.320190,-1315.911011,-3407.312012,-1525.460693,-999.826172,765.751953,-12.286560,-445.075623,2803.521240,2925.517578,2047.282227,705.373108,1697.201416,-683.395081,892.401672,1261.471313,-426.679871,-733.298340,-2040.193726,-1331.750122,-647.125061,-2844.469238,1963.789673,1610.494751,-900.250366,-1716.211426,762.608154,-1973.024170,-880.322205,39.988770,1436.893188,-1417.722656,-692.705383,1690.573730,1870.158569,-829.825928,1120.297852,-1452.055542
5,6822.395508,-1929.261719,9377.503906,-2987.461914,-4872.702148,5763.556152,1972.306152,-3829.008301,-711.866211,-1700.106567,4743.147949,-61.909912,-1068.337402,-1161.160889,-5933.321289,668.396240,-2083.967285,-924.428711,-3176.319336,1522.007812,-719.718262,-946.146362,-2454.930176,-933.477905,1095.603027,3246.228027,2623.702393,-90.464050,1120.570801,-888.685791,-3756.943359,3544.629395,856.242065,1730.764404,4110.952148,-3640.549805,4201.217285,603.357483,591.451294,-6695.648438,4340.089844,1409.772217,41.229126,-159.421875,-767.507141,3800.371582,-593.947266,-2053.018066,3967.250244,1830.390503,-2500.914062,2443.857666,2161.949219,-503.308289,-3996.222168,-6133.970703,2185.681152,-581.902588,-1926.309204,-1673.244873,-2590.456055,-10361.271484,-1116.534912,2499.347412,-2000.859497,457.067749,-4872.418945,-1142.047363,1223.177612,-592.281128,6870.804688,3720.000977,-6377.706055,-1220.890137,4810.916016,-11436.551758,5376.302734,-4064.262207,-2844.966309,-5350.384766,1303.427734,-3403.820068,-6716.749023,-3089.606689,9520.257812,8281.829102,-388.710327,1342.717285,4009.370361,3260.234619,2948.361328,-4098.593750,-993.806274,2816.529785,9890.146484,5831.497070
6,911.559753,865.130859,1245.229858,-2894.218262,-3905.997070,-1565.873047,727.602051,-2591.333984,814.321594,1444.256104,95.299805,-960.659180,1891.597656,-2830.215576,926.090271,2573.218262,-601.244751,-963.457764,467.956116,-2794.469482,-914.240112,301.556793,1545.618530,-2134.134277,-690.541138,967.898682,-2591.891602,-738.735229,-3442.180176,-476.926636,2535.344971,969.513672,62.861755,1911.578369,-1883.400024,-764.097351,-3853.679199,1158.146118,-399.963165,1914.171143,996.365967,-3975.186523,589.006348,2118.090820,581.532104,-1067.647827,194.421967,1521.546509,1253.859741,328.638794,-774.338196,1031.823364,3352.074463,-2239.236816,2847.236816,9.905214,2753.509033,-1725.983643,-1852.620972,87.923615,-3474.650391,-1311.901855,-875.164551,36.141235,-1795.473145,-1842.103516,1442.069336,2331.364746,1097.664062,324.230774,3167.845459,-1011.124573,191.598633,1146.792969,949.314514,-891.373718,-2720.999023,613.081299,-1417.215454,-4223.675293,-19.067627,849.900879,7.762573,-1372.339600,2181.344238,-981.709045,-828.382629,-2183.664307,2007.586426,-2740.526367,-371.855652,1837.508423,1443.170410,-360.660278,847.993164,-570.269775
7,5121.405762,-2233.641113,-2679.843506,-4149.555664,-461.173889,2780.221436,-2256.280518,-808.268188,-3707.693115,-1045.655029,1993.175293,-2363.892822,903.254700,-390.663666,1924.444458,878.836304,2562.807617,-2815.157471,102.190926,-2990.556396,-3594.564697,3524.405273,1687.821533,1839.614014,-3245.958984,2372.783203,3609.832764,732.177429,156.091599,-2157.154297,-1310.190796,901.682190,1486.098511,930.636353,-3225.300781,-1872.868408,-512.620178,2098.725830,2187.534424,-1873.995117,2610.329346,-3888.725098,1287.346313,-3182.166260,1420.213867,536.523987,-237.246353,-606.792969,2802.910889,-410.874023,669.213013,-2378.116455,2565.240723,-2325.895752,-2635.357666,-84.818253,5669.299316,820.415283,-2824.421631,4238.407227,-1880.281494,-4378.427246,5182.249023,1292.317261,-1789.906616,1629.895264,-3217.896973,2359.174316,1051.256592,1968.792480,2608.892090,-6085.378418,-2489.166748,1179.370483,-787.661011,-2740.101562,-1117.159546,203.659912,-3259.134521,-9229.143555,-1249.673462,-1234.307007,235.017548,3029.332520,-302.097717,586.848938,2313.893799,-4784.462891,1686.021851,-1064.105713,-342.617706,3356.723389,6095.619141,3095.446533,3853.548584,3603.854004
8,1573.405640,-3956.133057,-3039.940674,-1869.432861,-2577.367188,236.464996,-3990.948730,-700.020569,-759.902893,4174.717773,4741.798828,-3124.863525,133.206970,-1325.555176,-188.302170,1524.184937,2788.702393,-2639.048828,-592.749084,-1776.003662,348.535980,-716.846375,-712.809143,2839.565186,1946.643921,1309.674805,2426.513672,899.441406,3964.478271,-507.884521,-1104.512451,1387.865967,1188.318115,415.123444,-959.970093,-2573.212646,-433.020447,967.150452,1624.258911,-151.452576,-1690.265381,-90.153198,858.538086,73.641663,928.404968,707.288940,151.294800,-848.382019,-454.837585,-441.676270,-2305.686523,-1352.466797,3491.357910,443.028809,-905.166016,-1784.765869,4533.451172,-285.881287,-2837.522461,3269.598145,-2392.679199,-2840.743408,-336.405670,511.044647,624.794312,400.752014,912.540527,3078.669189,774.234863,2111.116699,2047.630615,-2516.228271,-3314.583252,1959.445190,785.019043,-3855.621094,-2040.322632,1627.372314,-175.712402,-2119.661621,-1577.145508,-3013.617920,-2714.037842,4133.489746,-1445.629639,669.803406,635.569641,-1963.022949,701.533691,2646.220215,-1393.776611,790.886536,3802.746826,2629.929199,3663.226562,1001.848511
9,12287.557617,-2944.162598,7396.507324,614.075806,-5635.646484,-1090.762451,-2691.729980,-675.864197,1288.044922,898.616089,9079.842773,2384.832031,-4343.378418,-82.044739,569.001099,-981.314392,-3650.486084,-1314.248779,-1570.277344,2937.546387,-1921.667114,-3787.436523,-2876.932373,1876.468750,1322.616821,-4190.169434,654.240967,-4340.483398,7540.296387,1370.889893,-5536.155273,4278.487305,7869.258789,1277.307495,3382.003662,-4865.796875,1108.777344,1685.275391,-543.042603,-5382.683105,8064.963379,-3849.534424,478.788147,-2761.026855,579.976196,2842.502441,1090.637451,-1903.444946,2137.665039,-2097.897949,2684.792725,4815.421875,8071.322754,-7558.840820,-1279.510010,-1787.102539,6086.792969,-2089.407715,-277.396118,7050.029785,-4162.335449,-9292.034180,6458.289062,2733.675781,-2503.280518,2488.789062,-2988.672852,-68.683594,3914.161133,959.583008,8861.852539,661.379395,-2494.876953,-1802.327637,5840.982422,-2408.954834,7148.376465,2873.990967,-3970.964355,-8460.576172,5816.128906,-727.823242,-2798.338623,-4553.629395,5838.833984,8343.960938,587.440308,-6682.189941,6080.210938,4605.613281,2714.129150,-2040.191406,5193.550293,4264.715820,10613.783203,2579.016357
