NodeID,ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
S0N3,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,65ms,true,31.00,40.00,981.80,S1N0:2979;S1N1:3761;S1N2:2685;S1N3:2741,shard1:12166,43.62s,5.06s,0.11s,0.498,0.300,0.80,88.00,0.98,UTC+8,1,0,0.00,2,0.500,0.10,50ms,0.500,398,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N3,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,65ms,true,31.00,45.50,981.80,S1N0:5418;S1N1:6976;S1N2:5172;S1N3:4498,shard1:22064,43.62s,5.28s,1.11s,0.498,0.300,0.80,88.00,0.98,UTC+8,1,0,0.00,2,0.500,0.10,50ms,0.500,398,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S1N0,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,65ms,true,80.00,40.00,981.80,S0N0:3015;S0N1:4214;S0N2:2945;S0N3:3192,shard0:13366,43.62s,5.03s,0.05s,0.498,0.450,0.80,80.00,0.98,UTC+8,1,0,0.00,2,0.500,0.10,60ms,0.500,598,8ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S1N0,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,65ms,true,72.00,41.00,981.80,S0N0:3703;S0N1:5115;S0N2:3557;S0N3:3855,shard0:16230,43.62s,5.03s,0.04s,0.498,0.450,0.80,16.00,0.98,UTC+8,1,0,0.00,2,0.500,0.10,60ms,0.380,520,9ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S1N0,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,65ms,true,80.00,46.00,981.80,S0N0:6032;S0N1:8211;S0N2:5657;S0N3:6352,shard0:26252,43.62s,5.27s,1.09s,0.498,0.450,0.80,80.00,0.98,UTC+8,1,0,0.00,2,0.500,0.37,60ms,0.500,598,9ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N2,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,60ms,true,31.00,40.00,981.80,S1N0:2979;S1N1:3761;S1N2:2685;S1N3:2741,shard1:12166,43.62s,5.06s,0.11s,0.498,0.300,0.80,88.00,0.98,UTC+8,1,0,0.00,2,0.500,0.10,50ms,0.500,398,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N2,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,60ms,true,31.00,45.50,981.80,S1N0:5418;S1N1:6976;S1N2:5172;S1N3:4498,shard1:22064,43.62s,5.28s,1.11s,0.498,0.300,0.80,88.00,0.98,UTC+8,1,0,0.00,2,0.500,0.10,50ms,0.500,398,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N2,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,60ms,true,33.00,52.00,981.80,S1N0:7215;S1N1:9079;S1N2:6703;S1N3:5652,shard1:28649,43.62s,5.35s,1.30s,0.498,0.300,0.80,104.00,0.98,UTC+8,1,0,0.00,2,0.500,0.30,50ms,0.500,398,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S1N0,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,65ms,true,80.00,40.00,981.80,S0N0:3015;S0N1:4214;S0N2:2945;S0N3:3192,shard0:13366,43.62s,5.03s,0.05s,0.498,0.450,0.80,80.00,0.98,UTC+8,1,0,0.00,2,0.500,0.10,60ms,0.500,598,8ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S1N0,12,amd64,0,DDR4,1600.00,512,SSD,100.00,50.00,50.00,65ms,true,72.00,41.00,981.80,S0N0:3703;S0N1:5115;S0N2:3557;S0N3:3855,shard0:16230,43.62s,5.03s,0.04s,0.498,0.450,0.80,16.00,0.98,UTC+8,1,0,0.00,2,0.500,0.10,60ms,0.380,520,9ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
