node_id,shard_id,cpu_cores,memory_gb,storage_gb,network_bandwidth,node_degree,cross_shard_ratio,cpu_usage,memory_usage
06105634c2c0e7c831d9dacb92270b5d962dda76,1,4.00,4.00,152.00,88.00,0.00,0.0000,0.1400,0.5800
dd8254121a6e942fc90828f2431f511dad7f32e6,0,4.00,6.00,119.00,88.00,1.00,1.0000,0.3700,0.6400
686257dcaf868f8198a4bda6bf0611e31efac810,0,1.00,8.00,135.00,123.00,0.00,0.0000,0.5600,0.5900
6f47bdef1b675a37a8a31e2f8c1bf2fe3d0dbd57,1,7.00,13.00,138.00,107.00,0.00,0.0000,0.6000,0.8000
491832db83a49a05fb1c339fdb6748814c4b23c9,1,7.00,15.00,160.00,78.00,2.00,1.0000,0.7400,0.2000
8d7945624799aa282bc95dab70df0aa1dbec2bc8,0,6.00,16.00,143.00,109.00,2.00,0.5000,0.6100,0.4700
725198791107ed0565ff5b22b676d1b784736ef4,0,1.00,17.00,159.00,110.00,3.00,1.0000,0.4300,0.3400
32b8a05cdd5bf0fd9b73e33e171c2743292d3cf6,1,7.00,8.00,117.00,57.00,3.00,0.0000,0.1000,0.3800
b5a44792f1cb3d0b6c275b6ad481575b8b047e03,0,2.00,17.00,129.00,140.00,2.00,1.0000,0.7500,0.6900
12e3f06accd8e84d1b7e45817a5a1a755770eb9d,1,5.00,14.00,198.00,105.00,0.00,0.0000,0.4100,0.2600
e83dc1d9f5aa8223acb090be5c14877df8c3f71b,1,8.00,4.00,143.00,119.00,14.00,0.5000,0.2400,0.8400
826c1a1c9b4e1768fc23d553be2a86d4ee1db513,1,3.00,7.00,121.00,132.00,6.00,1.0000,0.3500,0.2700
7d326067438fb69ab6b2839941e598f3c4223ebf,0,4.00,15.00,168.00,139.00,2.00,1.0000,0.3600,0.8200
c789b74cbfb4a179bf34a08d681f2c6e20b31a7b,1,3.00,11.00,157.00,87.00,1.00,0.0000,0.3900,0.3600
4385918592b9dc6803a98bec24a8a9f94e1213d7,1,8.00,16.00,180.00,105.00,1.00,1.0000,0.2400,0.3100
0ce85bbe4a8b2829a25dde4660efd26bcb66e7c5,1,5.00,7.00,170.00,58.00,2.00,0.5000,0.2600,0.4100
d307a74e1a4b0d11f7bdc56fac1b5b0801f51c5f,0,7.00,5.00,145.00,61.00,1.00,0.0000,0.1700,0.3600
69aab36bf1dd771b1d24b5078fe6fdd35a8f7e06,1,6.00,4.00,153.00,126.00,1.00,0.0000,0.2300,0.8700
9727ab16e86ff1f50470a4f6765d564e9bdc8a4e,1,1.00,8.00,114.00,121.00,12.00,1.0000,0.3700,0.2400
b5262b9dc70b5acd1af7db5ac2922641aa3af0f5,1,4.00,18.00,180.00,122.00,1.00,1.0000,0.8400,0.7100
d12902883aaeba725594f71cdc73e9c8bedf57f5,1,4.00,6.00,167.00,79.00,0.00,0.0000,0.5700,0.2400
aa1cbb87b9ae261f777a996bad31e5d24d7f2067,1,3.00,10.00,145.00,86.00,1.00,0.0000,0.3800,0.7100
8dfc603960abdb24926268a1455e6cbbfa2b4f8e,0,1.00,7.00,124.00,59.00,0.00,0.0000,0.7300,0.6100
c8dc0d8b43db2369726394c6441dc7674bb63e24,0,1.00,6.00,172.00,139.00,0.00,0.0000,0.3300,0.3100
f212a87d21c87ee69656d53246ac57970efa8c08,1,1.00,4.00,151.00,81.00,0.00,0.0000,0.1400,0.2900
f911dfc07fceffcb6a0d2119d8e11e6e8746eb66,0,6.00,16.00,153.00,147.00,1.00,0.0000,0.8000,0.4300
2fb4cbaeba6f5e8a8b36ae96e3f1d69b38159ef9,0,2.00,4.00,109.00,79.00,0.00,0.0000,0.8100,0.5000
2e41da93be9b905bf16ee4ef3b959c5e7d8dad7d,1,2.00,8.00,166.00,147.00,3.00,1.0000,0.1600,0.5500
c6403952c21a7fc157b1bd3f15e3d36fe32b2a24,0,7.00,6.00,195.00,72.00,3.00,1.0000,0.2200,0.4900
d80932d7fbc7bc619a57d3378684132b8e97974d,1,6.00,13.00,160.00,59.00,0.00,0.0000,0.6200,0.8500
1e200aa606e54a7460e7ebf35864461bd4b82aca,0,1.00,12.00,101.00,96.00,2.00,1.0000,0.1500,0.2600
364a45cb288eee3ee7440d32ae03f5e63cdbc239,0,8.00,10.00,126.00,147.00,2.00,0.0000,0.1300,0.5200
1d2b01d10c26b61dda02ffd7b7d31220df3ae7d8,1,8.00,5.00,142.00,107.00,2.00,0.0000,0.7700,0.8100
0285be91df82c2497cc313b625f38eacfec73813,0,2.00,4.00,111.00,115.00,0.00,0.0000,0.4300,0.4600
a0b19283794ac2a82740d2146f14a5c42cde834e,0,2.00,7.00,112.00,140.00,0.00,0.0000,0.5100,0.6100
ae06deccd22b6974bce075cccd064969e171412a,0,1.00,6.00,158.00,75.00,0.00,0.0000,0.3400,0.2400
187775c0675402d843a8a74de47eaf3170720cf5,0,5.00,16.00,167.00,70.00,3.00,0.0000,0.5000,0.6200
1cb43198e918807c6fe138c035df4c526e7c6d62,1,7.00,7.00,168.00,127.00,2.00,0.0000,0.6000,0.3400
87ecfbae470a7a33f30c2801929b5cf9234da0f5,1,7.00,7.00,188.00,79.00,0.00,0.0000,0.8400,0.6500
bc15544eea7a0db697c6ec724a85c2d66e4c9f72,0,8.00,19.00,118.00,104.00,0.00,0.0000,0.2000,0.2400
fab447bcc8eafde9a03c67a2b06719c0d7e04e4d,1,6.00,17.00,139.00,144.00,0.00,0.0000,0.6700,0.7700
272fb65b7612bf43193125ea000216e6cb466e0f,1,7.00,14.00,199.00,77.00,1.00,1.0000,0.8600,0.6700
d6463b514443dc308ca70d69dda2b13f494ef882,0,7.00,12.00,168.00,123.00,5.00,0.0000,0.1200,0.8900
edd8f810bcb8440609d7676fc313800696ce451a,0,5.00,15.00,155.00,60.00,0.00,0.0000,0.4500,0.7800
31f6263eb490fb33f6682abbb6318e26adb84a31,0,3.00,12.00,120.00,93.00,0.00,0.0000,0.2000,0.7600
c81da309a93b97f6e2f57574317a6eca64308df7,1,2.00,19.00,184.00,55.00,5.00,0.4000,0.8300,0.8800
7b85b3697fb45256af60cf6de3dd3f2d42abab44,1,7.00,5.00,120.00,85.00,0.00,0.0000,0.6700,0.3500
6a52a302d146db5892605543835911ec1a0fa2d0,1,1.00,5.00,107.00,81.00,4.00,0.0000,0.3100,0.2200
6f485f5179d9f119695f31b38dce676c3df4db07,1,8.00,14.00,119.00,93.00,4.00,0.5000,0.4500,0.4300
9288fe5be3be048b5c7a68bfd4b9a0746b7e4a00,1,3.00,13.00,108.00,128.00,2.00,1.0000,0.5800,0.7600
857a6253c09bd2aa852899c8985a43637a07822e,0,5.00,10.00,195.00,68.00,5.00,1.0000,0.7500,0.2200
b9693f658753a6074b8f94f216e1e666d692d98b,0,6.00,10.00,129.00,58.00,8.00,0.0000,0.1200,0.2000
532caeb14c022d642211b4d85a298dadebb682bc,0,4.00,11.00,108.00,138.00,10.00,0.4000,0.6500,0.2100
52d46af55136e2c7b9617b6d243535aa188ebebf,1,3.00,18.00,122.00,122.00,0.00,0.0000,0.3900,0.2300
b5948e6a9c9f62b59b5019a83ac4ea42015c2585,0,2.00,11.00,158.00,101.00,2.00,0.5000,0.8300,0.8400
0d9ec4d1319a58346210afa581994683a58487aa,1,4.00,5.00,164.00,115.00,0.00,0.0000,0.1400,0.3800
3c8ac5eef1fddb4aaee7d01c698a3e8681ae894c,0,5.00,11.00,148.00,74.00,3.00,0.0000,0.8500,0.8300
b3776f6433b05344347a7955179e0e48b0f3b881,1,1.00,16.00,101.00,128.00,4.00,0.0000,0.4200,0.4700
b3900a9b6cd34a6bf38af50c441517b14d61d535,0,1.00,9.00,105.00,75.00,1.00,0.0000,0.6900,0.3600
