ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.ClockFrequency,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.CPU.CacheSize,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.Uptime24h,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.TransactionCapability.ResourcePerTx.CPUPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.MemPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.DiskPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.NetworkPerTx,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.EconomicContribution.FeeContributionRatio,OnChainBehavior.SmartContractUsage.InvocationFrequency,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.GeoLocation.DataCenter,NetworkTopology.GeoLocation.Region,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.Hierarchy.Depth,NetworkTopology.Hierarchy.ConnectionDensity,NetworkTopology.Centrality.IntraShard.Eigenvector,NetworkTopology.Centrality.IntraShard.Closeness,NetworkTopology.Centrality.InterShard.Betweenness,NetworkTopology.Centrality.InterShard.Influence,NetworkTopology.ShardAllocation.Priority,NetworkTopology.ShardAllocation.ShardPreference,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Compute.CPUUsage,DynamicAttributes.Compute.MemUsage,DynamicAttributes.Compute.ResourceFlux,DynamicAttributes.Storage.Available,DynamicAttributes.Storage.Utilization,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,DynamicAttributes.Transactions.StakeChangeRate,DynamicAttributes.Reputation.Uptime24h,DynamicAttributes.Reputation.ReputationScore,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.SupportedFuncs.Priorities,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
17,3.9,x86,51,242,DDR4,89.5,6.9,NVMe,678,1856,37120,196ms,0.988,true,22.1,30.3,503.2,nodeA:214;nodeB:162,shard1:375;shard2:236;shard3:133,554ms,0.19,0.11,0.037,0.05,12s,2.4s,0.34,153,0.7,0.3,0.82,25.8,0.89,UTC-8,AWS,us-west-2,41,13,60.5,22,5,0.36,0.52,0.5,0.42,0.49,5,shard1:0.4;shard2:0.4;shard3:0.2,0.56,89.9,30.1,0.15,4.0,0.83,6.1,118ms,0.76,143,727ms,0.08,0.964,72.0,miner,"mining,consensus,pow","block_mining,pow_computation,block_production",block_mining:1;pow_computation:1;block_production:1,idle,1053,1824
20,2.7,x86,140,240,DDR4,138.8,11.6,HDD,177,1938,5814,51ms,0.989,true,48.1,19.6,1413.1,nodeA:154;nodeB:276,shard1:309;shard2:104,1361ms,0.27,0.06,0.034,0.05,29s,2.5s,0.14,4698,0.62,0.38,0.85,17.9,0.86,UTC+0,Digital Ocean,europe-central,44,19,72.5,38,5,0.36,0.43,0.55,0.68,0.72,4,shard1:0.8;shard2:0.1;shard3:0.1,0.79,55.0,63.7,0.21,4.1,0.63,14.2,78ms,0.74,1149,323ms,0.23,0.986,85.3,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,active,747,979
47,2.0,ARM,188,285,DDR4,119.6,10.7,SSD,700,1822,7288,59ms,0.994,true,77.1,83.5,519.6,nodeA:117;nodeB:68;nodeC:69;nodeD:240;nodeE:201,shard1:260;shard2:289;shard3:77,757ms,0.08,0.08,0.03,0.03,14s,2.2s,0.16,4517,0.7,0.3,0.9,34.9,0.92,UTC+0,Digital Ocean,europe-central,48,26,87.0,38,2,0.46,0.13,0.21,0.32,0.44,1,shard1:0.1;shard2:0.9,0.53,71.0,39.9,0.37,7.7,0.34,4.3,268ms,0.44,320,790ms,0.28,0.977,81.8,miner,"mining,consensus,pow","block_mining,pow_computation,block_production",block_mining:1;pow_computation:1;block_production:1,idle,2037,1703
3,3.1,x86,12,22,DDR5,9.3,1.9,HDD,573,927,17613,43ms,0.86,false,65.7,52.8,53.7,nodeA:61;nodeB:234,shard1:348;shard2:339;shard3:317;shard4:211,391ms,0.28,0.13,0.012,0.05,21s,5.6s,0.37,1448,0.55,0.45,0.59,7.9,0.75,UTC-3,AWS,sa-east-1,14,8,26.0,14,3,0.42,0.21,0.23,0.39,0.22,3,shard1:0.3;shard2:0.5;shard3:0.2,0.53,68.0,57.7,0.35,0.6,0.88,2.1,115ms,0.34,189,741ms,0.26,0.89,83.5,light_node,"validation,relay","data_verification,tx_relay",data_verification:1;tx_relay:2,high_load,2433,554
8,4.3,x86,16,22,DDR5,13.4,1.3,SSD,222,175,3325,184ms,0.871,false,38.6,80.3,270.2,nodeA:209;nodeB:95,shard1:115;shard2:71;shard3:207,700ms,0.14,0.04,0.043,0.07,15s,3.3s,0.27,948,0.78,0.22,0.17,1.2,0.72,UTC+1,Azure,europe-west,13,6,22.0,9,4,0.43,0.42,0.33,0.3,0.56,1,shard1:0.8;shard2:0.1;shard3:0.1,0.54,57.5,43.0,0.05,0.9,0.68,4.7,246ms,0.66,925,624ms,0.01,0.858,82.1,light_node,"validation,relay","data_verification,tx_relay",data_verification:1;tx_relay:2,idle,710,1167
38,4.0,ARM,304,336,DDR5,264.4,25.0,NVMe,362,2165,15155,41ms,0.997,true,21.7,66.6,399.3,nodeA:117;nodeB:150;nodeC:42;nodeD:243;nodeE:20,shard1:325;shard2:393;shard3:150;shard4:236,1343ms,0.25,0.13,0.041,0.03,6s,0.9s,0.11,3955,0.49,0.51,0.92,27.9,0.9,UTC-8,AWS,us-west-2,34,10,49.0,23,5,0.51,0.53,0.68,0.21,0.46,4,shard1:0.2;shard2:0.5;shard3:0.3,0.83,84.8,46.5,0.06,18.2,0.46,9.1,155ms,0.32,1271,494ms,0.11,0.988,80.9,miner,"mining,consensus,pow","block_mining,pow_computation,block_production",block_mining:1;pow_computation:1;block_production:1,high_load,2194,286
7,3.0,ARM,35,30,DDR5,13.4,0.7,NVMe,550,780,10920,194ms,0.918,false,83.2,58.1,125.2,nodeA:132;nodeB:110;nodeC:285;nodeD:257;nodeE:45,shard1:177;shard2:112;shard3:283;shard4:118,1322ms,0.26,0.06,0.014,0.08,25s,4.2s,0.23,1850,0.6,0.4,0.5,7.4,0.89,UTC-5,Google Cloud,us-east-1,14,10,29.0,12,2,0.83,0.48,0.54,0.19,0.28,1,shard1:0.6;shard2:0.3;shard3:0.1,0.52,94.0,64.7,0.32,0.3,0.83,9.1,216ms,0.62,549,201ms,0.2,0.851,78.8,light_node,"validation,relay","data_verification,tx_relay",data_verification:1;tx_relay:2,maintenance,536,1644
22,4.2,x86,154,185,DDR4,97.1,9.5,HDD,403,2935,49895,107ms,0.992,true,39.2,20.4,628.6,nodeA:85;nodeB:293;nodeC:33;nodeD:221;nodeE:33,shard1:379;shard2:269,378ms,0.13,0.14,0.009,0.02,11s,2.5s,0.31,626,0.57,0.43,0.93,15.6,0.95,UTC+3,Yandex Cloud,ru-central1,49,30,94.0,46,2,0.86,0.82,0.68,0.3,0.54,4,shard1:0.8;shard2:0.2,0.91,92.0,52.2,0.31,5.0,0.66,4.1,132ms,0.48,1044,79ms,0.12,0.993,94.4,validator,"validation,consensus,pos","block_validation,consensus_participation,stake_management",block_validation:1;consensus_participation:1;stake_management:2,high_load,776,1771
18,2.8,x86,90,135,DDR5,91.3,13.6,SSD,378,1335,22695,197ms,0.951,true,57.8,85.0,850.0,nodeA:209;nodeB:55;nodeC:279;nodeD:194;nodeE:26,shard1:300;shard2:104;shard3:271,340ms,0.25,0.1,0.039,0.1,21s,5.5s,0.29,2054,0.45,0.55,0.83,7.3,0.88,UTC+9,Alibaba Cloud,ap-northeast-1,79,26,118.0,49,2,0.81,0.49,0.65,0.65,0.77,5,shard1:0.6;shard2:0.3;shard3:0.1,0.83,92.3,50.8,0.3,3.3,0.71,9.8,72ms,0.75,667,750ms,0.18,0.982,97.7,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,high_load,268,761
50,3.9,ARM,250,351,DDR5,250.2,20.6,NVMe,450,4988,44892,160ms,0.996,true,26.1,76.7,346.3,nodeA:118;nodeB:181,shard1:324;shard2:144,1451ms,0.19,0.11,0.02,0.05,10s,1.0s,0.16,2216,0.54,0.46,0.93,25.7,0.92,UTC+8,AWS,ap-southeast-1,53,16,77.0,28,3,0.77,0.34,0.58,0.38,0.46,4,shard1:0.3;shard2:0.7,0.72,31.1,44.1,0.19,7.1,0.7,6.2,291ms,0.52,1577,613ms,0.11,0.984,76.8,miner,"mining,consensus,pow","block_mining,pow_computation,block_production",block_mining:1;pow_computation:1;block_production:1,high_load,1129,522
