NodeID,ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
S1N2,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,75ms,false,20.00,37.50,0.00,S0N0:540;S0N1:752;S0N2:569;S0N3:421;S2N0:478;S2N1:615;S2N2:537;S2N3:430;S3N0:433;S3N1:539;S3N2:425;S3N3:352,shard0:2282;shard2:2060;shard3:1749,0ms,4.97s,0.13s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N0,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,80ms,true,70.00,38.00,0.00,S0N0:571;S0N1:682;S0N2:507;S0N3:386;S1N0:649;S1N1:841;S1N2:673;S1N3:504;S3N0:392;S3N1:476;S3N2:389;S3N3:327,shard0:2146;shard1:2667;shard3:1584,1000ms,5.00s,0.02s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,201,2ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S2N1,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,85ms,true,20.00,37.50,0.00,S0N0:571;S0N1:682;S0N2:507;S0N3:386;S1N0:649;S1N1:841;S1N2:673;S1N3:504;S3N0:392;S3N1:476;S3N2:389;S3N3:327,shard0:2146;shard1:2667;shard3:1584,0ms,5.00s,0.03s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S2N2,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,90ms,true,20.00,37.50,0.00,S0N0:571;S0N1:682;S0N2:507;S0N3:386;S1N0:649;S1N1:841;S1N2:673;S1N3:504;S3N0:392;S3N1:476;S3N2:389;S3N3:327,shard0:2146;shard1:2667;shard3:1584,0ms,5.00s,0.04s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S1N3,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,80ms,false,20.00,37.50,0.00,S0N0:540;S0N1:752;S0N2:569;S0N3:421;S2N0:478;S2N1:615;S2N2:537;S2N3:430;S3N0:433;S3N1:539;S3N2:425;S3N3:352,shard0:2282;shard2:2060;shard3:1749,0ms,4.96s,0.14s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N0,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,50ms,true,70.00,38.00,0.00,S1N0:673;S1N1:827;S1N2:723;S1N3:528;S2N0:481;S2N1:676;S2N2:535;S2N3:452;S3N0:475;S3N1:579;S3N2:492;S3N3:396,shard1:2751;shard2:2144;shard3:1942,1000ms,4.95s,0.36s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,72,8ms,light_node,basic,tx_processing,idle,10,50
S0N2,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,60ms,false,20.00,37.50,0.00,S1N0:673;S1N1:827;S1N2:723;S1N3:528;S2N0:481;S2N1:676;S2N2:535;S2N3:452;S3N0:475;S3N1:579;S3N2:492;S3N3:396,shard1:2751;shard2:2144;shard3:1942,0ms,4.91s,0.50s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S0N1,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,55ms,false,20.00,37.50,0.00,S1N0:673;S1N1:827;S1N2:723;S1N3:528;S2N0:481;S2N1:676;S2N2:535;S2N3:452;S3N0:475;S3N1:579;S3N2:492;S3N3:396,shard1:2751;shard2:2144;shard3:1942,0ms,4.93s,0.51s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S3N1,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,100ms,true,20.00,37.50,0.00,S0N0:542;S0N1:693;S0N2:572;S0N3:419;S1N0:687;S1N1:878;S1N2:725;S1N3:534;S2N0:531;S2N1:732;S2N2:633;S2N3:446,shard0:2226;shard1:2824;shard2:2342,0ms,4.96s,0.13s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N2,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,105ms,true,20.00,37.50,0.00,S0N0:542;S0N1:693;S0N2:572;S0N3:419;S1N0:687;S1N1:878;S1N2:725;S1N3:534;S2N0:531;S2N1:732;S2N2:633;S2N3:446,shard0:2226;shard1:2824;shard2:2342,0ms,4.97s,0.11s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
