Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,2036,2000,1483,0,1753970568917,1753970569121,9754610,7233175,0
2,0,2935,2000,433,1436,1753970573630,1753970573740,18962869,4088823,13637058
3,0,4827,2000,1461,47,1753970578708,1753970578845,19054608,13744967,684313
4,0,6539,2000,1184,438,1753970584042,1753970584368,26311933,13391235,8600171
5,0,7466,2000,708,1065,1753970588709,1753970588847,33929719,10028649,20685743
6,0,9046,2000,1271,337,1753970593717,1753970593854,34124138,19797204,8217427
7,0,8432,2000,607,1189,1753970599162,1753970599769,48550750,12117369,32361095
9,1,9812,2000,1438,54,1753970608848,1753970608982,51089446,36380986,1854389
10,1,11367,2000,836,898,1753970614078,1753970614411,67787743,24382569,35673896
11,1,12338,2000,1154,444,1753970618740,1753970618883,61989883,33097632,17362446
12,1,11589,2000,645,1135,1753970623748,1753970623878,80022391,21690758,50932977
13,1,10536,2000,1171,432,1753970629055,1753970629292,59837230,28717767,21383372
14,1,9616,2000,792,971,1753970633747,1753970633896,77409405,22289690,48454264
15,1,8588,2000,1342,167,1753970638847,1753970638974,61913575,38981763,8669829
16,1,7624,2000,845,894,1753970644110,1753970644825,87705886,27003229,52379845
18,2,6449,2000,741,1003,1753970653756,1753970653861,103120866,28644149,64581038
19,2,4890,2000,640,1147,1753970659040,1753970659567,108609062,28238409,70972695
20,2,3097,2000,0,2000,1753970663746,1753970663870,117043824,0,117043824
21,2,1097,2000,0,2000,1753970668753,1753970668863,113749106,0,113749106
22,2,0,1097,0,1097,1753970674045,1753970674531,65731525,0,65731525
23,2,0,0,0,0,1753970678624,1753970678679,0,0,0
24,2,0,0,0,0,1753970683624,1753970683690,0,0,0
26,3,0,0,0,0,1753970693624,1753970693688,0,0,0
27,3,0,0,0,0,1753970698624,1753970698678,0,0,0
28,3,0,0,0,0,1753970703625,1753970703732,0,0,0
