TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
111349785166777399520436066667483772962269997829523845247988651121851345226436,1753970564234,1753970568068,1753970573448,1753970568151,1753970573448,,,9214
108351340724126696865677649695974804211127445906003334435918117437134619215513,1753970574697,1753970588401,1753970613129,1753970588473,1753970613129,,,38432
94542202106962985634294712185725617904028240757046392088657707323503840712668,1753970579773,1753970598452,1753970598639,,,,,18866
38779172515445186023373227813135592234541118252642630908759630248764898890689,1753970579836,1753970608456,1753970628137,1753970608504,1753970628137,,,48300
77954572020488769525982668126108273599829912243544333725274362057702560566329,1753970590242,1753970623748,1753970658515,1753970623878,1753970658515,,,68272
55080831932699539566504741594237683397907865484345031843864653734309966373298,1753970615086,1753970643459,1753970663132,1753970643502,1753970663132,,,48045
25076863223293641041616451457126735595842085221507611486740197417362990879036,1753970564291,1753970573038,1753970583512,1753970573082,1753970583512,,,19220
68498457159374065670444592127189378065501062259590681568443713310944919232999,1753970569602,1753970583418,1753970598126,1753970583486,1753970598126,,,28524
25616096534125363925342350214750704655591792845919686585630036015482210959165,1753970590210,1753970618740,1753970653143,1753970618883,1753970653143,,,62933
60972881859529303295598467952181994824407585367167258531372756189904001836650,1753970615430,1753970653101,1753970653143,,,,,37712
3472490803555797603052538730169516680365398040410738111874159133576945854109,1753970574644,1753970583402,1753970598126,1753970583512,1753970598126,,,23482
88755709973454961910255802005671312354891158922130545894739988824936345999498,1753970574694,1753970588709,1753970588847,,,,,14152
2434628334677004721460492601325857025573878903853807511750980449876006719051,1753970590228,1753970618740,1753970618883,,,,,28655
30827552687036390390877330230854783551145661284171608801647114817789422074359,1753970590174,1753970618740,1753970658515,1753970618883,1753970658515,,,68340
3475032846478876792143252652902094223643664907379934712352039735991306468695,1753970604773,1753970628468,1753970658126,1753970628523,1753970658126,,,53352
70882453376713690707169454196509557076694145560216962271617392891434857274890,1753970609975,1753970653446,1753970668141,1753970653523,1753970668141,,,58166
94197368063111247628698950065182653002382716890532019796208575939326963579818,1753970615447,1753970663446,1753970674531,1753970663512,1753970674531,,,59083
