NodeID,ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
S1N3,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,80ms,false,20.00,37.50,0.00,S0N0:543;S0N1:751;S0N2:570;S0N3:420;S2N0:478;S2N1:611;S2N2:536;S2N3:426;S3N0:429;S3N1:536;S3N2:423;S3N3:351,shard0:2284;shard2:2051;shard3:1739,0ms,5.11s,0.36s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N0,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,50ms,true,70.00,38.00,0.00,S1N0:670;S1N1:823;S1N2:718;S1N3:526;S2N0:478;S2N1:674;S2N2:535;S2N3:450;S3N0:477;S3N1:576;S3N2:493;S3N3:397,shard1:2737;shard2:2137;shard3:1943,1000ms,5.14s,0.53s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,72,11ms,light_node,basic,tx_processing,idle,10,50
S0N3,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,65ms,false,20.00,37.50,0.00,S1N0:670;S1N1:823;S1N2:718;S1N3:526;S2N0:478;S2N1:674;S2N2:535;S2N3:450;S3N0:477;S3N1:576;S3N2:493;S3N3:397,shard1:2737;shard2:2137;shard3:1943,0ms,5.16s,0.58s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S0N1,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,55ms,false,20.00,37.50,0.00,S1N0:670;S1N1:823;S1N2:718;S1N3:526;S2N0:478;S2N1:674;S2N2:535;S2N3:450;S3N0:477;S3N1:576;S3N2:493;S3N3:397,shard1:2737;shard2:2137;shard3:1943,0ms,5.21s,0.61s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S1N0,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,65ms,false,70.00,37.50,0.00,S0N0:543;S0N1:751;S0N2:570;S0N3:420;S2N0:478;S2N1:611;S2N2:536;S2N3:426;S3N0:429;S3N1:536;S3N2:423;S3N3:351,shard0:2284;shard2:2051;shard3:1739,1000ms,5.06s,0.21s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,118,8ms,full_node,"consensus,validation,full_service",tx_processing,idle,10,50
S0N2,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,60ms,false,20.00,37.50,0.00,S1N0:670;S1N1:823;S1N2:718;S1N3:526;S2N0:478;S2N1:674;S2N2:535;S2N3:450;S3N0:477;S3N1:576;S3N2:493;S3N3:397,shard1:2737;shard2:2137;shard3:1943,0ms,5.18s,0.52s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S1N1,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,70ms,false,20.00,37.50,0.00,S0N0:543;S0N1:751;S0N2:570;S0N3:420;S2N0:478;S2N1:611;S2N2:536;S2N3:426;S3N0:429;S3N1:536;S3N2:423;S3N3:351,shard0:2284;shard2:2051;shard3:1739,0ms,5.11s,0.37s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N0,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,80ms,true,70.00,38.00,0.00,S0N0:556;S0N1:659;S0N2:497;S0N3:379;S1N0:691;S1N1:880;S1N2:729;S1N3:532;S3N0:385;S3N1:464;S3N2:377;S3N3:320,shard0:2091;shard1:2832;shard3:1546,1000ms,5.05s,0.20s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,201,3ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S2N3,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,95ms,true,20.00,37.50,0.00,S0N0:556;S0N1:659;S0N2:497;S0N3:379;S1N0:691;S1N1:880;S1N2:729;S1N3:532;S3N0:385;S3N1:464;S3N2:377;S3N3:320,shard0:2091;shard1:2832;shard3:1546,0ms,5.12s,0.32s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S2N1,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,85ms,true,20.00,37.50,0.00,S0N0:556;S0N1:659;S0N2:497;S0N3:379;S1N0:691;S1N1:880;S1N2:729;S1N3:532;S3N0:385;S3N1:464;S3N2:377;S3N3:320,shard0:2091;shard1:2832;shard3:1546,0ms,5.11s,0.32s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
