Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,39,2000,1483,0,1753969717585,1753969717648,7083100,5254221,0
2,0,1989,2000,433,1436,1753969722606,1753969722737,17149575,3647493,12398674
3,0,3465,2000,1461,47,1753969727851,1753969728505,18429387,13287375,668860
4,0,4359,2000,1151,484,1753969732613,1753969732757,23471879,11328024,8502284
5,0,6059,2000,1115,529,1753969737623,1753969737757,29052815,14664891,9705651
6,0,8323,2000,864,865,1753969742914,1753969743348,36198529,11795492,20702814
7,0,7436,2000,640,1151,1753969747624,1753969747781,44335331,11536144,29032186
9,1,9762,2000,1422,76,1753969759292,1753969759559,52643029,36938650,2661427
10,1,9251,2000,784,967,1753969762631,1753969762764,65681797,21839517,36905930
11,1,10680,2000,1270,280,1753969767636,1753969767763,58708539,35500099,10657935
12,1,11065,2000,597,1208,1753969772910,1753969773363,79307476,19896512,52911996
13,1,9671,2000,1212,380,1753969777631,1753969777759,55228901,27666826,18248392
14,1,8605,2000,788,973,1753969782631,1753969782793,75422480,21000447,48063220
15,1,8649,2000,1265,267,1753969789280,1753969789510,65562343,37230711,14558271
16,1,6649,2000,994,698,1753969792712,1753969792853,77949544,29549153,39275756
18,2,5889,2000,885,811,1753969802995,1753969803360,97026560,33753734,51678246
19,2,4484,2000,387,1485,1753969807695,1753969807764,114760124,16449510,92870015
20,2,2832,2000,0,2000,1753969812690,1753969812755,114081137,0,114081137
21,2,1097,2000,0,2000,1753969817953,1753969818865,113583417,0,113583417
22,2,0,1097,0,1097,1753969822714,1753969822785,64315905,0,64315905
23,2,0,0,0,0,1753969827559,1753969827612,0,0,0
24,2,0,0,0,0,1753969832563,1753969832822,0,0,0
26,3,0,0,0,0,1753969842561,1753969842625,0,0,0
27,3,0,0,0,0,1753969847564,1753969847743,0,0,0
28,3,0,0,0,0,1753969852561,1753969852628,0,0,0
