TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
31078385029949917576194210340101629582962913505692377879557696375939833816775,1753969719456,1753969728693,1753969743884,1753969728840,1753969743884,,,24428
54547461917663211680262190906530285287907814998332087569945402909534812103582,1753969724620,1753969737848,1753969763614,1753969737887,1753969763614,,,38994
99727970631314424505825948947287412089374394644699061730678053573329267836858,1753969729695,1753969748541,1753969748620,,,,,18924
27569889642474276197539598941884163688782255872091017368780532890461539923480,1753969739953,1753969767636,1753969767763,,,,,27809
34675513308091345711805566474332178755884951183499665064263878029405687146562,1753969714256,1753969717585,1753969723578,1753969717648,1753969723578,,,9322
26122565360631639169148007082264233498544290075323108408726529788346184734131,1753969714288,1753969718493,1753969722737,1753969718583,1753969722737,,,8449
28575384949067553392040063608294875335085258986874642849274547831078568728145,1753969724603,1753969737848,1753969758796,1753969737887,1753969758796,,,34192
64847296114462368743248133461519221994003611899876577865204014411688050315115,1753969729773,1753969747859,1753969778612,1753969747932,1753969778612,,,48838
67072023193804182588690995274412135824854382786932586965355892200113893149450,1753969729786,1753969759292,1753969788870,1753969759559,1753969788870,,,59084
97436268537496412403958982010901482736712428574935457284190966435260173982418,1753969739983,1753969767860,1753969808617,1753969767914,1753969808617,,,68633
12012297754927072390568621994250541776644651286840991454702755927318670632670,1753969754973,1753969782877,1753969808576,1753969782940,1753969808576,,,53602
29726176183775625595764491626537874656095154717258531773355150453842171988310,1753969714118,1753969718507,1753969723573,1753969718605,1753969723573,,,9454
47853294866544685872838744469049383255176127591759982992368003017505101033124,1753969719367,1753969723504,1753969732890,1753969723573,1753969732890,,,13523
46887855547781714856526906292566463228847123388787602009010811286628795776880,1753969729776,1753969747624,1753969778612,1753969747781,1753969778612,,,48836
