NodeID,ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
S1N1,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,70ms,false,20.00,37.50,0.00,S0N0:544;S0N1:750;S0N2:570;S0N3:423;S2N0:478;S2N1:613;S2N2:536;S2N3:428;S3N0:430;S3N1:539;S3N2:425;S3N3:351,shard0:2287;shard2:2055;shard3:1745,0ms,5.07s,0.27s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N2,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,90ms,true,20.00,37.50,0.00,S0N0:577;S0N1:684;S0N2:510;S0N3:392;S1N0:643;S1N1:837;S1N2:667;S1N3:501;S3N0:395;S3N1:478;S3N2:391;S3N3:332,shard0:2163;shard1:2648;shard3:1596,0ms,5.08s,0.30s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S2N0,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,80ms,true,70.00,38.00,0.00,S0N0:577;S0N1:684;S0N2:510;S0N3:392;S1N0:643;S1N1:837;S1N2:667;S1N3:501;S3N0:395;S3N1:478;S3N2:391;S3N3:332,shard0:2163;shard1:2648;shard3:1596,1000ms,5.04s,0.17s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,201,3ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S3N0,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,95ms,true,70.00,38.00,0.00,S0N0:543;S0N1:694;S0N2:573;S0N3:419;S1N0:688;S1N1:878;S1N2:726;S1N3:537;S2N0:524;S2N1:734;S2N2:632;S2N3:438,shard0:2229;shard1:2829;shard2:2328,1000ms,5.02s,0.11s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,259,3ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S1N3,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,80ms,false,20.00,37.50,0.00,S0N0:544;S0N1:750;S0N2:570;S0N3:423;S2N0:478;S2N1:613;S2N2:536;S2N3:428;S3N0:430;S3N1:539;S3N2:425;S3N3:351,shard0:2287;shard2:2055;shard3:1745,0ms,5.08s,0.27s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N1,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,85ms,true,20.00,37.50,0.00,S0N0:577;S0N1:684;S0N2:510;S0N3:392;S1N0:643;S1N1:837;S1N2:667;S1N3:501;S3N0:395;S3N1:478;S3N2:391;S3N3:332,shard0:2163;shard1:2648;shard3:1596,0ms,5.09s,0.30s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S1N2,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,75ms,false,20.00,37.50,0.00,S0N0:544;S0N1:750;S0N2:570;S0N3:423;S2N0:478;S2N1:613;S2N2:536;S2N3:428;S3N0:430;S3N1:539;S3N2:425;S3N3:351,shard0:2287;shard2:2055;shard3:1745,0ms,5.07s,0.25s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N3,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,95ms,true,20.00,37.50,0.00,S0N0:577;S0N1:684;S0N2:510;S0N3:392;S1N0:643;S1N1:837;S1N2:667;S1N3:501;S3N0:395;S3N1:478;S3N2:391;S3N3:332,shard0:2163;shard1:2648;shard3:1596,0ms,5.09s,0.33s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S0N2,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,60ms,false,20.00,37.50,0.00,S1N0:671;S1N1:826;S1N2:719;S1N3:528;S2N0:481;S2N1:676;S2N2:535;S2N3:452;S3N0:475;S3N1:576;S3N2:493;S3N3:398,shard1:2744;shard2:2144;shard3:1942,0ms,5.14s,0.37s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S0N0,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,50ms,true,70.00,38.00,0.00,S1N0:671;S1N1:826;S1N2:719;S1N3:528;S2N0:481;S2N1:676;S2N2:535;S2N3:452;S3N0:475;S3N1:576;S3N2:493;S3N3:398,shard1:2744;shard2:2144;shard3:1942,1000ms,5.11s,0.29s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,72,11ms,light_node,basic,tx_processing,idle,10,50
S0N1,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,55ms,false,20.00,37.50,0.00,S1N0:671;S1N1:826;S1N2:719;S1N3:528;S2N0:481;S2N1:676;S2N2:535;S2N3:452;S3N0:475;S3N1:576;S3N2:493;S3N3:398,shard1:2744;shard2:2144;shard3:1942,0ms,5.15s,0.36s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S1N0,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,65ms,false,70.00,38.00,0.00,S0N0:544;S0N1:750;S0N2:570;S0N3:423;S2N0:478;S2N1:613;S2N2:536;S2N3:428;S3N0:430;S3N1:539;S3N2:425;S3N3:351,shard0:2287;shard2:2055;shard3:1745,1000ms,5.06s,0.22s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,118,12ms,full_node,"consensus,validation,full_service",tx_processing,idle,10,50
