Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,2036,2000,1483,0,1753968952649,1753968952754,9455477,7011703,0
2,0,2935,2000,433,1436,1753968957710,1753968957767,19364566,4123562,13993666
3,0,4844,2000,1367,181,1753968963038,1753968963182,20429652,13419796,2574118
4,0,6539,2000,1278,304,1753968967738,1753968967879,25032501,14351210,5910155
5,0,8054,2000,1082,575,1753968972742,1753968972861,31621003,15500901,11206295
6,0,9527,2000,884,844,1753968978051,1753968978324,38056165,12994242,21063248
7,0,8427,2000,620,1172,1753968982834,1753968983045,47220296,12014933,31174659
9,1,9812,2000,1438,54,1753968993323,1753968993454,52409002,37330558,1888393
10,1,10812,2000,768,989,1753968997755,1753968997884,68323223,22335488,38920595
11,1,12317,2000,1141,460,1753969002826,1753969002980,63193588,33432940,18096417
12,1,11594,2000,726,1028,1753969008713,1753969008937,81013537,25413998,46987890
13,1,10488,2000,1056,585,1753969012924,1753969013081,62188295,25431583,28110943
14,1,9535,2000,907,818,1753969017841,1753969018010,74522349,25536498,41244904
15,1,8525,2000,1257,287,1753969023663,1753969023811,65676405,37292060,14856191
16,1,7670,2000,992,692,1753969027827,1753969027965,81506302,30767446,40933088
18,2,6495,2000,932,747,1753969038157,1753969038319,97294554,36390918,48369773
19,2,4958,2000,387,1485,1753969042824,1753969042953,116628398,16889227,94153141
20,2,3097,2000,0,2000,1753969047753,1753969047875,115787731,0,115787731
21,2,1097,2000,0,2000,1753969053080,1753969053219,114719824,0,114719824
22,2,0,1097,0,1097,1753969057806,1753969057878,65322841,0,65322841
23,2,0,0,0,0,1753969062626,1753969062693,0,0,0
24,2,0,0,0,0,1753969067632,1753969068144,0,0,0
26,3,0,0,0,0,1753969077627,1753969077693,0,0,0
27,3,0,0,0,0,1753969082633,1753969082846,0,0,0
28,3,0,0,0,0,1753969087628,1753969087687,0,0,0
