TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
27030640691440154980335484207568752800030494985802447845293128066831168947273,1753968994108,1753969016388,1753969016437,,,,,22328
70226096108191067536744498932779457407895695967729178280772905289713206331993,1753968989021,1753969017608,1753969047509,1753969017701,1753969047509,,,58488
69999414343771232498187012821037307916825509336651751753469903595732137372406,1753968994187,1753969021583,1753969057634,1753969021653,1753969057634,,,63446
11940510695568668017587216459877843704602729005046826453672138360687444291271,1753968953416,1753968961550,1753968972619,1753968961642,1753968972619,,,19202
51706213599386478880105771293309179906400716719202622388240802880366013210677,1753968968771,1753968992654,1753968992722,,,,,23951
57314907437789988251877734885792213115869844727045873997689402583286910865397,1753968999228,1753969027827,1753969051658,1753969027965,1753969051658,,,52429
52168750305779942230110988138049950894634704176544708806419570946239529783295,1753968999281,1753969038157,1753969062585,1753969038319,1753969062585,,,63304
83810633805564706039014163817487889405517815203554733967704754865873412524607,1753968968811,1753968997462,1753969027965,1753968997503,1753969027965,,,59154
9830743315508552728401110422401962309837966414497129395081000740025018349790,1753968988974,1753969006792,1753969042953,1753969007034,1753969042953,,,53978
63072768623883864508313504906563328908954193772864808722632686363065517913752,1753968988988,1753969012507,1753969047875,1753969012563,1753969047875,,,58886
34724066195048362196948519544677194428978520536814554056816500072782775298839,1753968994108,1753969022843,1753969046414,1753969022984,1753969046414,,,52306
5783476117390354657574718388732376031653565884996161870579160181712010753213,1753968999268,1753969026391,1753969026437,,,,,27169
23767562730562414058253298800418644664641668134570816098641028097361082915965,1753968973863,1753968996371,1753969023811,1753968996407,1753969023811,,,49947
50192002553101145954034068343939301115889083302891356699643926530586651061034,1753968968764,1753968997584,1753969021653,1753968997622,1753969021653,,,52888
110289538466862197600008783493994468702418048719154776091142799885188898632191,1753968999231,1753969026391,1753969026437,,,,,27205
86741977047423439920976634478020725297903468463419206293803416126011778163577,1753968958518,1753968966368,1753968982658,1753968966411,1753968982658,,,24139
108982633668010008645885635597841140685875877733337528241700490336885696429788,1753968948225,1753968957710,1753968957767,,,,,9541
48803672845294036195850331670102318710800351430776552776789348017079035371735,1753968953423,1753968967554,1753968981429,1753968967618,1753968981429,,,28006
20293198905817735543005285994027570049116913280782441221682683176596397469896,1753968958529,1753968972742,1753968996407,1753968972861,1753968996407,,,37877
104032925652479403077696694418537996235126510111540833565336215219072741463725,1753968994097,1753969022843,1753969022984,,,,,28886
89033838039850052985846278233744251693295201694337755502792773776618456852196,1753968994129,1753969022823,1753969047875,1753969022976,1753969047875,,,53745
78787398222844616910686027521677974636069308752286329354564672602643120123006,1753968947949,1753968952649,1753968957475,1753968952754,1753968957475,,,9525
70739611154276373730632729586548224746498662512816342541639110487132197477179,1753968953375,1753968961550,1753968972861,1753968961642,1753968972861,,,19486
61493292156843616910199695893860818839820792200826474023528526245612907997715,1753968953417,1753968961550,1753968972619,1753968961642,1753968972619,,,19201
30453915054122803682734188905240231599208757136682816354282495282614418145487,1753968953312,1753968962730,1753968962919,,,,,9606
8443585088936992297303497694205901295802744703362594497564952104038723487981,1753968989010,1753969012507,1753969041433,1753969012563,1753969041433,,,52423
6881591628038276586369247847010670730397538818935131413682982369589405354014,1753968947917,1753968952431,1753968952490,,,,,4572
61622535253842136675452455952545448567762027658237903324831002065831777716141,1753968958462,1753968966368,1753968966411,,,,,7949
113784807628994432785849793084507502536319438910269815522366897653909128140892,1753968958462,1753968966368,1753968983045,1753968966411,1753968983045,,,24582
947529501063919025231831116694887479635100596579395455758684818383511854372,1753968958500,1753968966368,1753968982658,1753968966411,1753968982658,,,24158
19756456558630590817118201772444086001566603254546418206169388926280057016786,1753968958531,1753968972742,1753969002656,1753968972861,1753969002656,,,44125
6525927431447564599618922863511052067074509378912992376823348945757907315740,1753968963670,1753968982595,1753969013081,1753968982658,1753969013081,,,49411
67505557825008213206766369274007566375425373056083689900357702235782538815354,1753968968758,1753968993323,1753969017524,1753968993454,1753969017524,,,48766
54453007901482604450266438060558931048101983979018006897842350134062715142993,1753968994140,1753969027587,1753969052728,1753969027640,1753969052728,,,58588
41740074984113824309205450340635747013160592428683991082193720613779859396580,1753968968763,1753968993323,1753969017524,1753968993454,1753969017524,,,48761
15778787552325202021845833518736581383878960212450886971736166308515130818832,1753968973950,1753969008713,1753969041433,1753969008937,1753969041433,,,67483
91226001456285087438431305569646921630935209931972066107090065383781705918139,1753968994151,1753969016388,1753969047509,1753969016437,1753969047509,,,53357
44581310616393498440222319540084411292101986701586385990290763591175626355130,1753968989031,1753969017608,1753969041433,1753969017701,1753969041433,,,52401
72104505574877680696023701879591507916013554266836467320657789378279240078758,1753968994153,1753969022823,1753969057634,1753969022976,1753969057634,,,63480
105256826107339839296992532368388529921843508183493341392356051010407461999705,1753968994197,1753969027478,1753969057634,1753969027518,1753969057634,,,63436
97373760273828241283116339797773573187954552121636441669626563326963930655522,1753968953417,1753968967738,1753968967879,,,,,14461
38562856875486723874687312497315286664694735727341004088772896097562782274508,1753968958468,1753968967738,1753968967879,,,,,9410
20627442098391251991782371917944349834038313782879114302242725817964039359668,1753968958540,1753968972456,1753968997884,1753968972495,1753968997884,,,39344
109275970546899318529558511314413899816663374524347676146301553310782791616975,1753968963621,1753968978051,1753968978324,,,,,14703
96039724229606451996150664638030555068146810902314853079244258054306356001750,1753968963673,1753968982595,1753969007034,1753968982658,1753969007034,,,43361
96503792000040423667692608173633787189300627793004441495629073262100922636760,1753968968744,1753968993323,1753969022984,1753968993454,1753969022984,,,54239
41622602396220964804819250730471190787883857280270761145212275053794468052784,1753968973846,1753969002826,1753969036596,1753969002980,1753969036596,,,62749
25786385371120944723002182872992256048833291766067474674309425207231493901381,1753968989062,1753969016388,1753969047509,1753969016437,1753969047509,,,58446
1061400351447006782313558742050627763072753398122235063655388540146010178849,1753968948192,1753968957529,1753968966411,1753968957589,1753968966411,,,18218
61417029284885527163231631996787618952729606594095808008828718986349615177775,1753968958481,1753968967453,1753968981429,1753968967495,1753968981429,,,22947
21935346311599572711774056185675727313196809084030823663824007887450238452606,1753968968746,1753968992654,1753969022984,1753968992722,1753969022984,,,54237
3928756039428517601189782937493360104320072693851071761659940028562945330671,1753968994102,1753969016388,1753969047509,1753969016437,1753969047509,,,53407
43006362554045514869596447216135182873002825159597620394442849168553514440204,1753968994190,1753969021583,1753969047875,1753969021653,1753969047875,,,53685
51503961056535479726401764080552782721704889320025256163786212280693396499986,1753968999292,1753969026391,1753969057634,1753969026437,1753969057634,,,58341
60603103306168206878990569140815242929554753535778845771705173733464599999012,1753968994186,1753969027478,1753969053219,1753969027518,1753969053219,,,59033
79088937805446467231884717011830663961233504173258739666501566987502393759629,1753968999296,1753969042610,1753969057878,1753969042662,1753969057878,,,58582
6104015710639390443078065987266984272222566798842969342360439747348114401505,1753968947972,1753968952649,1753968957589,1753968952754,1753968957589,,,9617
49428171686595993737610024021869529780853772690158440399275090636274374780096,1753968947918,1753968952431,1753968957767,1753968952490,1753968957767,,,9849
